source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	dorothea_level
P18848	P18847	ATF4	ATF3	True	True	False	True	True	False	A
P18847	P35638	ATF3	DDIT3	True	True	False	True	True	False	A
P18847	P0DPQ6	ATF3	DDIT3	True	True	False	True	True	False	A
Q13950	P02818	RUNX2	BGLAP	True	True	False	True	True	False	D
P15336	P16581	ATF2	SELE	True	True	False	True	True	False	D
P20823	P09848	HNF1A	LCT	True	True	False	True	True	False	D
Q13485	P05121	SMAD4	SERPINE1	True	True	False	True	True	False	A
P84022	P05121	SMAD3	SERPINE1	True	True	False	True	True	False	A
P42224	Q02556	STAT1	IRF8	True	True	False	True	True	False	A
P04637	P29034	TP53	S100A2	True	True	False	True	True	False	A
P26367	P01275	PAX6	GCG	True	True	False	True	True	False	C
P04637	Q07812	TP53	BAX	True	True	False	True	True	False	A
P04637	P51959	TP53	CCNG1	True	True	False	True	True	False	A
P04637	P24522	TP53	GADD45A	True	True	True	True	True	False	A
Q14765	P01579	STAT4	IFNG	True	True	False	True	True	False	A
P37231	P06858	PPARG	LPL	True	True	False	True	True	False	A
Q13285	P05093	NR5A1	CYP17A1	True	True	False	True	True	False	A
P01100	Q01196	FOS	RUNX1	True	False	False	False	False	False	B
Q01196	P01100	RUNX1	FOS	True	True	False	True	True	False	D
O43524	P48023	FOXO3	FASLG	True	True	False	True	True	False	A
P18146	P19419	EGR1	ELK1	True	True	False	False	False	False	A
P22415	P49327	USF1	FASN	True	True	False	True	True	False	A
P28069	P01236	POU1F1	PRL	True	True	False	True	True	False	A
P22415	P01308	USF1	INS	True	True	False	True	True	False	D
P49716	P05019	CEBPD	IGF1	True	True	False	True	True	False	D
P19419	P00441	ELK1	SOD1	True	True	False	True	True	False	A
Q01543	P14770	FLI1	GP9	True	True	False	True	True	False	A
Q01543	P08514	FLI1	ITGA2B	True	True	False	True	True	False	A
P19419	P18146	ELK1	EGR1	True	True	False	True	True	False	A
P18146	P28324	EGR1	ELK4	True	False	False	False	False	False	D
P28324	P18146	ELK4	EGR1	True	True	False	True	True	False	C
Q9HCU5	P01236	PREB	PRL	True	True	False	True	True	False	D
P04637	P35354	TP53	PTGS2	True	True	True	True	True	False	D
Q02548	P06400	PAX5	RB1	True	True	False	True	True	False	D
P16220	P10645	CREB1	CHGA	True	True	False	True	True	False	D
P17676	P35228	CEBPB	NOS2	True	True	False	True	True	False	D
P49715	P02768	CEBPA	ALB	True	True	False	True	True	False	A
P16220	P24385	CREB1	CCND1	True	True	False	True	True	False	A
P42224	P01579	STAT1	IFNG	True	True	True	True	True	False	A
Q16254	Q01094	E2F4	E2F1	True	False	True	True	False	True	A
P05412	P05231	JUN	IL6	True	True	False	True	True	False	A
P18146	P01584	EGR1	IL1B	True	True	False	True	True	False	D
Q16665	P01588	HIF1A	EPO	True	True	False	True	True	False	A
