source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources
P20226	P19447	TBP	ERCC3	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
O14978	P49795	ZNF263	RGS19	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
P36956	P06858	SREBF1	LPL	True	True	False	True	True	False	CollecTRI;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;GEREDB_CollecTRI2;NTNUcuration_CollecTRI2;CollecTRI2;GEREDB_CollecTRI;ExTRI_CollecTRI
P14316	P01574	IRF2	IFNB1	True	True	True	True	False	True	CollecTRI;TRRUST_DoRothEA;ExTRI2_CollecTRI2;DoRothEA;TRRUST_CollecTRI2;TRRUST_CollecTRI;GEREDB_CollecTRI2;NTNUcuration_CollecTRI2;CollecTRI2;GEREDB_CollecTRI;TRRUST;CytReg_CollecTRI2;CytReg_CollecTRI;ExTRI_CollecTRI
P16220	P35354	CREB1	PTGS2	True	True	False	True	True	False	CollecTRI;TFactS_DoRothEA;TRRUST_DoRothEA;ExTRI2_CollecTRI2;DoRothEA;TFactS_CollecTRI;TfactS_CollecTRI2;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;TRRUST_CollecTRI2;DoRothEA-A_CollecTRI2;NTNUcuration_CollecTRI2;CollecTRI2;TRED_DoRothEA;RegNetwork_DoRothEA;TRRUST;ExTRI_CollecTRI
Q03060	P35558	CREM	PCK1	True	True	False	True	True	False	CollecTRI;TfactS_CollecTRI2;CollecTRI2;ExTRI_CollecTRI
Q92754	P01040	TFAP2C	CSTA	True	True	False	True	True	False	TfactS_CollecTRI2;GEREDB_CollecTRI2;DoRothEA-A_CollecTRI2;ExTRI_CollecTRI;TRRUST_CollecTRI;TRED_DoRothEA;TRRUST;HTRIdb_DoRothEA;HTRIdb_CollecTRI2;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;TRRUST_CollecTRI2;NTNUcuration_CollecTRI2;HTRIdb;RegNetwork_DoRothEA;CollecTRI;TRRUST_DoRothEA;DoRothEA;HTRI_CollecTRI;CollecTRI2;GEREDB_CollecTRI;DoRothEA-A_CollecTRI
P23771	P05112	GATA3	IL4	True	True	False	True	True	False	CollecTRI;TRRUST_DoRothEA;ExTRI2_CollecTRI2;DoRothEA;TRRUST_CollecTRI2;TRRUST_CollecTRI;DoRothEA-A_CollecTRI2;NTNUcuration_CollecTRI2;CollecTRI2;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TRRUST;CytReg_CollecTRI2;CytReg_CollecTRI;ExTRI_CollecTRI
Q9HBT7	P05112	ZNF287	IL4	True	True	False	True	True	False	CollecTRI;CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI
Q9HBT7	P05113	ZNF287	IL5	True	True	False	True	True	False	CollecTRI;CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI
Q12857	P04798	NFIA	CYP1A1	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
Q14994	P17735	NR1I3	TAT	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P17535_P53539	P30990	FOSB_JUND	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
P04150	P20813	NR3C1	CYP2B6	True	True	False	True	True	False	CollecTRI;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;GEREDB_CollecTRI2;NTNUcuration_CollecTRI2;CollecTRI2;GEREDB_CollecTRI;ExTRI_CollecTRI
COMPLEX:P17275_P17535	P30990	JUNB_JUND	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412	P30990	JUN	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
COMPLEX:P15408_P17275	P30990	FOSL2_JUNB	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412_P15407	P30990	FOSL1_JUN	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
COMPLEX:P19838_Q04206	P01344	NFKB1_RELA	IGF2	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P15408_P17535	P30990	FOSL2_JUND	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
