gene_n,cond_n,n_orgs,organisms,n_entries,median_fit,worst_fit,example_locus,example_org,example_condition,description,score
ycfq,bacitracin,1,beril_Keio,1,-3.70992849319815,-3.70992849319815,15233,beril_Keio,Bacitracin,"orf, hypothetical protein (VIMSS)",3.70992849319815
mapa,cisplatin,1,beril_SynE,1,-3.6881927836471,-3.6881927836471,Synpcc7942_1408,beril_SynE,Cisplatin,membrane-associated protein,3.6881927836471
slt,bacitracin,1,beril_SynE,1,-3.68729031017602,-3.68729031017602,Synpcc7942_2131,beril_SynE,Bacitracin,probable soluble lytic transglycosylase,3.68729031017602
exbb,benzalkonium,1,beril_Keio,1,-3.6846729555083,-3.6846729555083,17083,beril_Keio,Benzalkonium Chloride,membrane spanning protein in TonB-ExbB-ExbD complex (NCBI),3.6846729555083
yjep,benzalkonium,1,beril_Keio,1,-3.67590371206372,-3.67590371206372,18187,beril_Keio,Benzalkonium Chloride,predicted mechanosensitive channel (NCBI),3.67590371206372
yjga,bacitracin,1,beril_Keio,1,-3.67544051072811,-3.67544051072811,18259,beril_Keio,Bacitracin,hypothetical protein (NCBI),3.67544051072811
rfe,benzalkonium,1,beril_Keio,1,-3.64917507611891,-3.64917507611891,17835,beril_Keio,Benzalkonium Chloride,UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase (NCBI),3.64917507611891
fis,nalidixic acid,1,beril_Keio,1,-3.62856641213144,-3.62856641213144,17331,beril_Keio,Nalidixic acid sodium salt,DNA-binding protein Fis (NCBI),3.62856641213144
yrbc,benzalkonium,1,beril_Keio,1,-3.62416492254292,-3.62416492254292,17263,beril_Keio,Benzalkonium Chloride,predicted ABC-type organic solvent transporter (NCBI),3.62416492254292
yebg,cisplatin,1,beril_Keio,1,-3.62302753193326,-3.62302753193326,15966,beril_Keio,Cisplatin,conserved protein regulated by LexA (NCBI),3.62302753193326
tig,bacitracin,1,beril_SB2B,1,-3.59700624098783,-3.59700624098783,6937052,beril_SB2B,Bacitracin,trigger factor (RefSeq),3.59700624098783
ppid,benzalkonium,1,beril_Keio,1,-3.58314176139068,-3.58314176139068,14579,beril_Keio,Benzalkonium Chloride,peptidyl-prolyl cis-trans isomerase (rotamase D) (NCBI),3.58314176139068
