n,mcc,precision,recall,tp,fp,tn,fn,prevalence,organism,component,bucket_type,bucket_value
431,0.3333102133751473,0.8595505617977528,0.8895348837209303,306,50,37,38,0.7981438515081206,mgenitalium,ortholog_prior,kw_dehydrogenase,0
441,0.18831278780247862,0.9523809523809523,0.22792022792022792,80,4,86,271,0.7959183673469388,mgenitalium,PPI,kw_dehydrogenase,0
15,0.45226701686664544,0.8333333333333334,0.9090909090909091,10,2,2,1,0.7333333333333333,mgenitalium,ortholog_prior,kw_dehydrogenase,1
15,0.23652495839563303,1.0,0.18181818181818182,2,0,4,9,0.7333333333333333,mgenitalium,PPI,kw_dehydrogenase,1
435,0.34582890769058533,0.8611111111111112,0.8933717579250721,310,50,38,37,0.7977011494252874,mgenitalium,ortholog_prior,kw_protease,0
445,0.18761967981500008,0.9523809523809523,0.22598870056497175,80,4,87,274,0.7955056179775281,mgenitalium,PPI,kw_protease,0
11,0.08333333333333333,0.75,0.75,6,2,1,2,0.7272727272727273,mgenitalium,ortholog_prior,kw_protease,1
11,0.28867513459481287,1.0,0.25,2,0,3,6,0.7272727272727273,mgenitalium,PPI,kw_protease,1
446,0.33811345263061393,0.8586956521739131,0.8901408450704226,316,52,39,39,0.7959641255605381,mgenitalium,ortholog_prior,kw_rrna,0
456,0.19024183813440004,0.9534883720930233,0.2265193370165746,82,4,90,280,0.793859649122807,mgenitalium,PPI,kw_rrna,0
442,0.3367175148507369,0.8571428571428571,0.8888888888888888,312,52,39,39,0.7941176470588235,mgenitalium,ortholog_prior,kw_chaperone,0
452,0.19080118411843736,0.9529411764705882,0.22625698324022347,81,4,90,277,0.7920353982300885,mgenitalium,PPI,kw_chaperone,0
387,0.2987258233323616,0.8711656441717791,0.8930817610062893,284,42,27,34,0.8217054263565892,mgenitalium,ortholog_prior,is_hypothetical,0
393,0.19405332443191484,0.9642857142857143,0.25077399380804954,81,3,67,242,0.821882951653944,mgenitalium,PPI,is_hypothetical,0
59,0.438112009785858,0.7619047619047619,0.8648648648648649,32,10,12,5,0.6271186440677966,mgenitalium,ortholog_prior,is_hypothetical,1
63,-0.04438880151427718,0.5,0.02564102564102564,1,1,23,38,0.6190476190476191,mgenitalium,PPI,is_hypothetical,1
