pattern_id,static_top_genes,static_top_orgs,static_essential_frac,traj_top_genes,traj_top_orgs,traj_essential_frac,know_top_genes,know_top_orgs,know_essential_frac,corr_static_traj,corr_static_know,corr_traj_know,mean_alignment
75,rpsN | ygdL | yhhM | rnt | capG | pth | yibK | poxB,"abaylyi,mgenitalium,saureus,styphimurium",0.3333333333333333,pykA | pyk | pyk | pyk | pykF | prs | prsA | prs,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.8,ldpD | poxB | ftsN | sigL | rplY | pduD,"abaylyi,ccrescentus,mtuberculosis,styphimurium",0.13333333333333333,0.010793324911189088,0.0560034102469463,-0.07916718086533951,-0.004123481902401374
126,yeeF | yjbB | yodD | yfcZ | ytfH | yjgA | ygbI | ygaC,"abaylyi,styphimurium",0.0,smbA | pyrH | pyrH | pyrH | pyrH | pyrH | pyrH | prsA,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",1.0,pepN | dksA | pyrD | mutA | per,"abaylyi,ccrescentus,mtuberculosis",0.06666666666666667,0.024140302700426705,-0.04105863473495421,0.0013031927664328364,-0.005205046422698224
107,ycfS | yjeS | yhiR | yqgA | envE | upp | yicN | yahN,"ccrescentus,mtuberculosis,styphimurium",0.0,gmk | gmk | gmk | gmk | gmk | gmk | gmk | gmk,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.8666666666666667,SA1672 | glyA | dnaJ | glyA | yibK | glyA | ffh | dnaK,"ccrescentus,mgenitalium,mpne,saureus,styphimurium,syn3a",0.6666666666666666,0.24062703710785383,-0.1178791954259849,-0.14057979599881518,-0.005943984772315419
84,yggG | cadC | iap | pduX | safA | alkA | yihI | frr,"abaylyi,styphimurium",0.06666666666666667,gapA | gapDH | gap | gap | gap | clsA | pykF | pyk,"ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.8,fum | bioF | purN | ubiE | clpB | murI | recR | nirB,"abaylyi,ccrescentus,mtuberculosis,saureus,styphimurium,syn3a",0.6,0.032524765091045967,-0.047488989155010125,-0.030227187983721218,-0.015063804015895126
122,rluD | deoD | rfaI | tatA,"abaylyi,mgenitalium,styphimurium,syn3a",0.6,pgm | gpmI | pmgI | gpmI | pgm | pykA | pyk | pyk,"ccrescentus,mgenitalium,mpne,saureus,styphimurium,syn3a",0.8,ephA | nirD | cbiC | plsB | lpqR | nasT | ymdC | holA,"abaylyi,ccrescentus,mpne,mtuberculosis,styphimurium",0.13333333333333333,0.25180642262291675,-0.13399162644016882,-0.16492922760415551,-0.015704810473802528
18,invG | ssaU | bioD | cbiP | eutH | cbiN | btuB | pks6,"abaylyi,ccrescentus,mtuberculosis,styphimurium",0.06666666666666667,pgi | pgi | pgi | tpi | tpiA | tpiA | tpiA | tpi,"ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.9333333333333333,pckA | aroA | manA | dapE | pdxA | trpS2 | yfiO | lpxK,"abaylyi,ccrescentus,mpne,mtuberculosis,styphimurium",0.7333333333333333,0.13520374377371142,-0.021745884449534507,-0.16085168169778843,-0.015797940791203845
13,ACIAD0267 | ACIAD2500 | ACIAD2538 | CCNA_01902 | ACIAD1821 | ACIAD1058 | ACIAD1847 | CCNA_03623,"abaylyi,ccrescentus,mgenitalium,mtuberculosis",0.06666666666666667,deoD | deoD | punA | deoD | clsA | galU | galU | galU,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,styphimurium,syn3a",0.8,ftsK | ribF | tatC | serC | murI | amiC | vapC10 | hsp,"abaylyi,mtuberculosis,styphimurium,syn3a",0.4,-0.06296369011983084,0.01269460683569669,-0.022879533115945434,-0.02438287213335986
27,glxK | yigG | crr | sigI | yihT | pyk | ruvA | ptsG,"abaylyi,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.6666666666666666,nadK | tpi | tpiA | tpiA | tpi | tpiA | tpiA | pgi,"ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.8666666666666667,ldpD | poxB | areC | gacA | pepP,"abaylyi,ccrescentus,styphimurium",0.06666666666666667,0.20745862709230667,-0.08788095674098582,-0.20056376073275795,-0.026995363460479035
52,dnaA | ytfE | ygaM | yqeF,"abaylyi,ccrescentus,mtuberculosis,styphimurium,syn3a",0.06666666666666667,pta | eutD | pta | pta | pta | ackA | ackA | ack,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.6,SA0941 | yejK | ynfI | yrbC | manY | sapD,"abaylyi,ccrescentus,mtuberculosis,saureus,styphimurium",0.06666666666666667,0.07996789838695029,-0.07489337504216911,-0.09117693808830575,-0.02870080491450819
66,eutJ | fabZ | thiL | ispE | apaH | pduX | moxR3 | rplX,"ccrescentus,mtuberculosis,styphimurium",0.26666666666666666,galE | galE | galE | galE | galE | clsA | deoB | pmmB,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,styphimurium,syn3a",0.7333333333333333,rpiB | smc | ribF | udk | natA,"mgenitalium,mpne,syn3a",0.9333333333333333,-0.04148633165782391,-0.1107022553656055,0.05912809321059497,-0.031020164604278144
