ec_number	km_value	km_unit	km_substrate	km_organism	km_organism_rank	km_n_at_rank	km_n_total	kcat_value	kcat_unit	kcat_organism	kcat_organism_rank	kcat_n_at_rank	kcat_n_total
6.1.1.5	0.0004	M	ATP	Escherichia coli	3	6	15	2.64	s^(-1)	Pseudomonas fluorescens	5	3	3
6.1.1.6	8.8e-05	M	ATP	Bacillus subtilis	4	4	19	5.3	s^(-1)	Cricetulus griseus	5	11	15
6.1.1.9	4.7e-05	M	L-Valine	Escherichia coli	3	10	30	1.5	s^(-1)	Escherichia coli	3	12	37
6.3.1.5	0.00028	M	Deamino-NAD+	Bacillus subtilis	4	5	5						0
6.3.3.2	0.0001645	M	5-Formyltetrahydrofolate	Mycoplasma pneumoniae	0	6	12	1.0	s^(-1)	Mycoplasma pneumoniae	0	6	7
6.3.4.16 2.1.3.3	0.013	M	L-Ornithine	Homo sapiens	6	4	4						0
6.3.4.21	3.82e-05	M	5-Phospho-alpha-D-ribose 1-diphosphate	Homo sapiens	6	4	4	0.25	s^(-1)	Homo sapiens	6	4	4
6.3.4.3	9.4e-05	M	ATP	Pisum sativum	5	14	14	4.4	s^(-1)	Leishmania major	5	3	3
6.3.5.1	0.0004	M	ATP	Homo sapiens	6	11	11						0
6.3.5.7	2.51e-05	M	L-Glutamine	Streptococcus pyogenes	5	7	7	0.3	s^(-1)	Streptococcus pyogenes	5	10	10
7.1.2.2	0.00095	M	ATP	Bacillus subtilis	4	2	9	300.0	s^(-1)	Saccharomyces cerevisiae	6	1	1
