EntryID	ECNumber	Organism	parameter.name	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit
10653	1.1.1.17	Caloglossa continua	Vmax	Vmax		0.002146667		-	mol*s^(-1)*g^(-1)
10653	1.1.1.17	Caloglossa continua	B	concentration	NADH	2.0E-4		-	M
10653	1.1.1.17	Caloglossa continua	A	concentration	D-Fructose 6-phosphate	0.0	0.005	-	M
10653	1.1.1.17	Caloglossa continua	Km	Km	D-Fructose 6-phosphate	1.888E-4		-	M
10654	1.1.1.17	Caloglossa continua	Km	Km	D-Fructose 6-phosphate	0.001458		-	M
10654	1.1.1.17	Caloglossa continua	A	concentration	D-Fructose 6-phosphate	0.0	0.005	-	M
10654	1.1.1.17	Caloglossa continua	B	concentration	NADH	2.0E-4		-	M
10654	1.1.1.17	Caloglossa continua	Vmax	Vmax		0.00274		-	mol*s^(-1)*g^(-1)
10655	1.1.1.17	Caloglossa continua	B	concentration	D-Fructose 6-phosphate	0.005		-	M
10655	1.1.1.17	Caloglossa continua	Km	Km	NADH	3.1E-6		-	M
10655	1.1.1.17	Caloglossa continua	A	concentration	NADH	0.0	2.0E-4	-	M
10655	1.1.1.17	Caloglossa continua	Vmax	Vmax		3.75E-4		-	mol*s^(-1)*g^(-1)
10656	1.1.1.17	Caloglossa continua	B	concentration	D-Fructose 6-phosphate	0.005		-	M
10656	1.1.1.17	Caloglossa continua	Km	Km	NADH	1.78E-5		-	M
10656	1.1.1.17	Caloglossa continua	A	concentration	NADH	0.0	2.0E-4	-	M
10656	1.1.1.17	Caloglossa continua	Vmax	Vmax		0.0016		-	mol*s^(-1)*g^(-1)
10657	1.1.1.17	Caloglossa continua	A	concentration	NADH	0.0	2.0E-4	-	M
10657	1.1.1.17	Caloglossa continua	B	concentration	D-Fructose 6-phosphate	5.0E-4		-	M
10657	1.1.1.17	Caloglossa continua	Km	Km	NADH	3.5E-6		-	M
10657	1.1.1.17	Caloglossa continua	Vmax	Vmax		7.916667E-4		-	mol*s^(-1)*g^(-1)
10658	1.1.1.17	Caloglossa continua	A	concentration	NADH	0.0	2.0E-4	-	M
10658	1.1.1.17	Caloglossa continua	B	concentration	D-Fructose 6-phosphate	5.0E-4		-	M
10658	1.1.1.17	Caloglossa continua	Km	Km	NADH	5.4E-6		-	M
10658	1.1.1.17	Caloglossa continua	Vmax	Vmax		2.533333E-4		-	mol*s^(-1)*g^(-1)
10659	1.1.1.17	Caloglossa continua	Vmax	Vmax		5.533333E-4		-	mol*s^(-1)*g^(-1)
10659	1.1.1.17	Caloglossa continua	B	concentration	NAD+	2.0E-4		-	M
10659	1.1.1.17	Caloglossa continua	Km	Km	D-Mannitol 1-phosphate	4.89E-5		-	M
10659	1.1.1.17	Caloglossa continua	A	concentration	D-Mannitol 1-phosphate	0.0	0.004	-	M
10660	1.1.1.17	Caloglossa continua	A	concentration	D-Mannitol 1-phosphate	0.0	0.004	-	M
10660	1.1.1.17	Caloglossa continua	B	concentration	NAD+	2.0E-4		-	M
10660	1.1.1.17	Caloglossa continua	Km	Km	D-Mannitol 1-phosphate	1.38E-4		-	M
10660	1.1.1.17	Caloglossa continua	Vmax	Vmax		6.7E-4		-	mol*s^(-1)*g^(-1)
10661	1.1.1.17	Caloglossa continua	A	concentration	NAD+	0.0	2.0E-4	-	M
10661	1.1.1.17	Caloglossa continua	Km	Km	NAD+	3.2E-5		-	M
10661	1.1.1.17	Caloglossa continua	Vmax	Vmax		5.666667E-4		-	mol*s^(-1)*g^(-1)
10661	1.1.1.17	Caloglossa continua	B	concentration	D-Mannitol 1-phosphate	5.0E-4		-	M
10662	1.1.1.17	Caloglossa continua	Vmax	Vmax		6.383333E-4		-	mol*s^(-1)*g^(-1)
10662	1.1.1.17	Caloglossa continua	B	concentration	D-Mannitol 1-phosphate	5.0E-4		-	M
10662	1.1.1.17	Caloglossa continua	Km	Km	NAD+	5.69E-5		-	M
10662	1.1.1.17	Caloglossa continua	A	concentration	NAD+	0.0	2.0E-4	-	M
19929	1.1.1.17	Streptococcus mutans	B	concentration	D-Mannitol 1-phosphate	5.0E-5	0.001	-	M
19929	1.1.1.17	Streptococcus mutans	A	concentration	NAD+	2.5E-5	0.001	-	M
19929	1.1.1.17	Streptococcus mutans	Km	Km	D-Mannitol 1-phosphate	1.5E-4		-	M
19929	1.1.1.17	Streptococcus mutans	E	concentration	Enzyme	2.4E-4		-	mg/ml
19929	1.1.1.17	Streptococcus mutans	Vmax	Vmax				-	-
19930	1.1.1.17	Streptococcus mutans	Vmax	Vmax				-	-
19930	1.1.1.17	Streptococcus mutans	E	concentration	Enzyme	2.4E-4		-	mg/ml
19930	1.1.1.17	Streptococcus mutans	B	concentration	D-Mannitol 1-phosphate	5.0E-5	0.001	-	M
19930	1.1.1.17	Streptococcus mutans	A	concentration	NAD+	5.0E-5	4.0E-4	-	M
19930	1.1.1.17	Streptococcus mutans	Km	Km	NAD+	6.0E-5		-	M
19931	1.1.1.17	Streptococcus mutans	B	concentration	D-Fructose 6-phosphate	5.0E-4	0.005	-	M
19931	1.1.1.17	Streptococcus mutans	Vmax	Vmax				-	-
19931	1.1.1.17	Streptococcus mutans	E	concentration	Enzyme	2.7E-4		-	mg/ml
19931	1.1.1.17	Streptococcus mutans	A	concentration	NADH	1.0E-5	1.0E-4	-	M
19931	1.1.1.17	Streptococcus mutans	Km	Km	NADH	1.6E-5		-	M
19932	1.1.1.17	Streptococcus mutans	Vmax	Vmax				-	-
19932	1.1.1.17	Streptococcus mutans	E	concentration	Enzyme	2.7E-4		-	mg/ml
19932	1.1.1.17	Streptococcus mutans	A	concentration	NADH	1.0E-5	1.0E-4	-	M
19932	1.1.1.17	Streptococcus mutans	B	concentration	D-Fructose 6-phosphate	2.5E-4	0.005	-	M
19932	1.1.1.17	Streptococcus mutans	Km	Km	D-Fructose 6-phosphate	0.00166		-	M
19933	1.1.1.17	Streptococcus mutans	A	concentration	NAD+	5.0E-5	0.001	-	M
19933	1.1.1.17	Streptococcus mutans	Ki	Ki	ATP	0.0022		-	M
19933	1.1.1.17	Streptococcus mutans	I	concentration	ATP	0.0	0.01	-	M
19933	1.1.1.17	Streptococcus mutans	E	concentration	Enzyme	2.2E-4		-	mg/ml
19933	1.1.1.17	Streptococcus mutans	B	concentration	D-Mannitol 1-phosphate	1.0E-4	0.001	-	M
19934	1.1.1.17	Streptococcus mutans	A	concentration	NAD+	5.0E-5	0.001	-	M
19934	1.1.1.17	Streptococcus mutans	E	concentration	Enzyme	2.2E-4		-	mg/ml
19934	1.1.1.17	Streptococcus mutans	I	concentration	D-Fructose 6-phosphate	0.0	0.01	-	M
19934	1.1.1.17	Streptococcus mutans	Ki	Ki	D-Fructose 6-phosphate	0.00333		-	M
19934	1.1.1.17	Streptococcus mutans	B	concentration	D-Mannitol 1-phosphate	1.0E-4	0.001	-	M
19935	1.1.1.17	Streptococcus mutans	Ki	Ki	ADP	0.002		-	M
19935	1.1.1.17	Streptococcus mutans	I	concentration	ADP	0.0	0.01	-	M
19935	1.1.1.17	Streptococcus mutans	A	concentration	NADH	1.0E-5	0.001	-	M
19935	1.1.1.17	Streptococcus mutans	E	concentration	Enzyme	2.5E-4		-	mg/ml
19935	1.1.1.17	Streptococcus mutans	B	concentration	D-Fructose 6-phosphate	5.0E-4	0.005	-	M
62998	1.1.1.17	Aspergillus fumigatus	kcat	kcat		8.5		4E-1	s^(-1)
62998	1.1.1.17	Aspergillus fumigatus	B	concentration	NAD+	0.0058		-	M
62998	1.1.1.17	Aspergillus fumigatus	Km	Km	D-Mannitol 1-phosphate	2.3E-4		2E-5	M
62998	1.1.1.17	Aspergillus fumigatus	E	concentration	Enzyme			-	-
62998	1.1.1.17	Aspergillus fumigatus	kcat_Km	kcat/Km	D-Mannitol 1-phosphate	38000.0		-	M^(-1)*s^(-1)
62998	1.1.1.17	Aspergillus fumigatus	A	concentration	D-Mannitol 1-phosphate	3.0E-5	0.0034	-	M
62999	1.1.1.17	Aspergillus fumigatus	kcat	kcat		125.0		3E0	s^(-1)
62999	1.1.1.17	Aspergillus fumigatus	Km	Km	D-Fructose 6-phosphate	0.0021		2E-4	M
62999	1.1.1.17	Aspergillus fumigatus	E	concentration	Enzyme			-	-
62999	1.1.1.17	Aspergillus fumigatus	kcat_Km	kcat/Km	D-Fructose 6-phosphate	59000.0		-	M^(-1)*s^(-1)
62999	1.1.1.17	Aspergillus fumigatus	A	concentration	D-Fructose 6-phosphate	5.0E-4	0.04	-	M
62999	1.1.1.17	Aspergillus fumigatus	B	concentration	NADH	2.0E-4		-	M
63000	1.1.1.17	Aspergillus fumigatus	E	concentration	Enzyme			-	-
63000	1.1.1.17	Aspergillus fumigatus	kcat	kcat		8.5		4E-1	s^(-1)
63000	1.1.1.17	Aspergillus fumigatus	Km	Km	NAD+	7.5E-4		9E-5	M
63000	1.1.1.17	Aspergillus fumigatus	A	concentration	D-Mannitol 1-phosphate	0.0043		-	M
63000	1.1.1.17	Aspergillus fumigatus	B	concentration	NAD+	4.0E-5	0.0088	-	M
63001	1.1.1.17	Aspergillus fumigatus	Km	Km	NADH	1.6E-5		1E-6	M
63001	1.1.1.17	Aspergillus fumigatus	A	concentration	D-Fructose 6-phosphate	0.045		-	M
63001	1.1.1.17	Aspergillus fumigatus	B	concentration	NADH	2.0E-6	2.0E-4	-	M
63001	1.1.1.17	Aspergillus fumigatus	E	concentration	Enzyme			-	-
63001	1.1.1.17	Aspergillus fumigatus	kcat	kcat		125.0		3E0	s^(-1)
1092	1.1.1.2	Sus scrofa	B	concentration	NADPH	2.0E-4		-	M
1092	1.1.1.2	Sus scrofa	A	concentration	4-Cyanobenzaldehyde	0.001		-	M
1092	1.1.1.2	Sus scrofa	Km	Km	4-Cyanobenzaldehyde	5.1E-4		-	M
1092	1.1.1.2	Sus scrofa	kcat	kcat		16.63333		-	s^(-1)
1093	1.1.1.2	Sus scrofa	kcat	kcat		19.33333		-	s^(-1)
1093	1.1.1.2	Sus scrofa	Km	Km	4-Pyridinecarboxaldehyde	6.9E-4		-	M
1093	1.1.1.2	Sus scrofa	B	concentration	NADPH	2.0E-4		-	M
1093	1.1.1.2	Sus scrofa	A	concentration	4-Pyridinecarboxaldehyde	0.001		-	M
1094	1.1.1.2	Sus scrofa	kcat	kcat		26.83333		-	s^(-1)
1094	1.1.1.2	Sus scrofa	B	concentration	NADPH	2.0E-4		-	M
1094	1.1.1.2	Sus scrofa	Km	Km	3-Pyridinecarboxaldehyde	0.0026		-	M
1094	1.1.1.2	Sus scrofa	A	concentration	3-Pyridinecarboxaldehyde	0.001		-	M
1095	1.1.1.2	Sus scrofa	kcat	kcat		21.66667		-	s^(-1)
1095	1.1.1.2	Sus scrofa	A	concentration	4-Carboxybenzaldehyde	0.001		-	M
1095	1.1.1.2	Sus scrofa	B	concentration	NADPH	2.0E-4		-	M
1095	1.1.1.2	Sus scrofa	Km	Km	4-Carboxybenzaldehyde	7.8E-5		-	M
1096	1.1.1.2	Sus scrofa	kcat	kcat		14.41667		-	s^(-1)
1096	1.1.1.2	Sus scrofa	B	concentration	NADPH	2.0E-4		-	M
1096	1.1.1.2	Sus scrofa	A	concentration	D-Glyceraldehyde	0.001		-	M
1096	1.1.1.2	Sus scrofa	Km	Km	D-Glyceraldehyde	0.0076		-	M
1097	1.1.1.2	Sus scrofa	kcat	kcat		11.55		-	s^(-1)
1097	1.1.1.2	Sus scrofa	B	concentration	NADPH	2.0E-4		-	M
1097	1.1.1.2	Sus scrofa	Km	Km	D-Glucuronate	0.0084		-	M
1097	1.1.1.2	Sus scrofa	A	concentration	D-Glucuronate	0.001		-	M
1098	1.1.1.2	Sus scrofa	Km	Km	Glycerol	0.775		-	M
1098	1.1.1.2	Sus scrofa	A	concentration	Glycerol	0.1		-	M
1098	1.1.1.2	Sus scrofa	kcat	kcat		0.6116667		-	s^(-1)
1098	1.1.1.2	Sus scrofa	B	concentration	NADPH	5.0E-4		-	M
1099	1.1.1.2	Sus scrofa	A	concentration	(+)-Camphorquinone	0.001		-	M
1099	1.1.1.2	Sus scrofa	kcat	kcat		5.6		-	s^(-1)
1099	1.1.1.2	Sus scrofa	B	concentration	NADPH	2.0E-4		-	M
1099	1.1.1.2	Sus scrofa	Km	Km	(+)-Camphorquinone	3.3E-4		-	M
1100	1.1.1.2	Sus scrofa	B	concentration	NADPH	5.0E-4		-	M
1100	1.1.1.2	Sus scrofa	A	concentration	3-Pyridinemethanol	0.1		-	M
1100	1.1.1.2	Sus scrofa	Km	Km	3-Pyridinemethanol	0.0026		-	M
1100	1.1.1.2	Sus scrofa	kcat	kcat		26.83333		-	s^(-1)
1101	1.1.1.2	Sus scrofa	B	concentration	NADP+	5.0E-4		-	M
1101	1.1.1.2	Sus scrofa	Km	Km	L-Arabitol	1.36		-	M
1101	1.1.1.2	Sus scrofa	A	concentration	L-Arabitol	0.1		-	M
1101	1.1.1.2	Sus scrofa	kcat	kcat		1.766667		-	s^(-1)
1649	1.1.1.2	Mus musculus	Vmax	Vmax		3.00006E-5		-	katal*l^(-1)
1649	1.1.1.2	Mus musculus	Km	Km	Benzaldehyde	3.36E-4		-	M
1649	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1650	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1650	1.1.1.2	Mus musculus	Vmax	Vmax		3.3334E-5		-	katal*l^(-1)
1650	1.1.1.2	Mus musculus	Km	Km	o-Nitrobenzaldehyde	1.16E-4		-	M
1651	1.1.1.2	Mus musculus	Vmax	Vmax		5.750115E-5		-	katal*l^(-1)
1651	1.1.1.2	Mus musculus	Km	Km	m-Nitrobenzaldehyde	3.3E-5		-	M
1651	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1652	1.1.1.2	Mus musculus	Km	Km	p-Nitrobenzaldehyde	3.3E-5		-	M
1652	1.1.1.2	Mus musculus	Vmax	Vmax		7.575152E-5		-	katal*l^(-1)
1652	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1653	1.1.1.2	Mus musculus	Km	Km	D-Glyceraldehyde	0.0025		-	M
1653	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1653	1.1.1.2	Mus musculus	Vmax	Vmax		0.0133336		-	katal*l^(-1)
1654	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1654	1.1.1.2	Mus musculus	Vmax	Vmax		3.300066E-5		-	katal*l^(-1)
1654	1.1.1.2	Mus musculus	Km	Km	Pyridine-3-aldehyde	7.1E-5		-	M
1655	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1655	1.1.1.2	Mus musculus	Vmax	Vmax		0.01111689		-	katal*l^(-1)
1655	1.1.1.2	Mus musculus	Km	Km	Glycolaldehyde	0.0081		-	M
1656	1.1.1.2	Mus musculus	Vmax	Vmax		3.3334E-5		-	katal*l^(-1)
1656	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1656	1.1.1.2	Mus musculus	Km	Km	Butanal	8.0E-5		-	M
1657	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1657	1.1.1.2	Mus musculus	Km	Km	Octadecanal	1.11E-4		-	M
1657	1.1.1.2	Mus musculus	Vmax	Vmax		4.50009E-4		-	katal*l^(-1)
1658	1.1.1.2	Mus musculus	Km	Km	NADPH	1.67E-4		-	M
1658	1.1.1.2	Mus musculus	A	concentration	D-Glyceraldehyde	0.0025		-	M
1659	1.1.1.2	Mus musculus	Vmax	Vmax		8.3335E-4		-	katal*l^(-1)
1659	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1659	1.1.1.2	Mus musculus	Km	Km	Benzaldehyde	0.00105		-	M
1660	1.1.1.2	Mus musculus	Vmax	Vmax		9.50019E-4		-	katal*l^(-1)
1660	1.1.1.2	Mus musculus	Km	Km	o-Nitrobenzaldehyde	7.69E-4		-	M
1660	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1661	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1661	1.1.1.2	Mus musculus	Km	Km	m-Nitrobenzaldehyde	5.26E-4		-	M
1661	1.1.1.2	Mus musculus	Vmax	Vmax		8.3335E-4		-	katal*l^(-1)
1662	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1662	1.1.1.2	Mus musculus	Km	Km	p-Nitrobenzaldehyde	1.333E-4		-	M
1662	1.1.1.2	Mus musculus	Vmax	Vmax		0.00450009		-	katal*l^(-1)
1663	1.1.1.2	Mus musculus	Km	Km	D-Glyceraldehyde	0.001671		-	M
1663	1.1.1.2	Mus musculus	Vmax	Vmax		0.001850037		-	katal*l^(-1)
1663	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1664	1.1.1.2	Mus musculus	A	concentration	D-Glyceraldehyde	0.0025		-	M
1664	1.1.1.2	Mus musculus	Km	Km	NADPH	3.6E-5		-	M
1665	1.1.1.2	Mus musculus	Vmax	Vmax		0.00416675		-	katal*l^(-1)
1665	1.1.1.2	Mus musculus	Km	Km	D-Glucuronate	0.0091		-	M
1665	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1666	1.1.1.2	Mus musculus	Km	Km	alpha-D-Glucose	0.333		-	M
1666	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1666	1.1.1.2	Mus musculus	Vmax	Vmax		1.16669E-4		-	katal*l^(-1)
1667	1.1.1.2	Mus musculus	Km	Km	D-Galactose	0.333		-	M
1667	1.1.1.2	Mus musculus	Vmax	Vmax		1.00002E-4		-	katal*l^(-1)
1667	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1668	1.1.1.2	Mus musculus	Vmax	Vmax		0.001266692		-	katal*l^(-1)
1668	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1668	1.1.1.2	Mus musculus	Km	Km	D-Xylose	0.333		-	M
1669	1.1.1.2	Mus musculus	Km	Km	L-Arabinose	0.139		-	M
1669	1.1.1.2	Mus musculus	Vmax	Vmax		9.33352E-4		-	katal*l^(-1)
1669	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1670	1.1.1.2	Mus musculus	Vmax	Vmax		0.004766762		-	katal*l^(-1)
1670	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1670	1.1.1.2	Mus musculus	Km	Km	Pyridine-3-aldehyde	2.5E-4		-	M
1671	1.1.1.2	Mus musculus	Vmax	Vmax		5.0001E-4		-	katal*l^(-1)
1671	1.1.1.2	Mus musculus	Km	Km	D-Ribose	0.333		-	M
1671	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1672	1.1.1.2	Mus musculus	Km	Km	2-Deoxy-D-glucose	0.5		-	M
1672	1.1.1.2	Mus musculus	A	concentration	NADPH	7.5E-5		-	M
1672	1.1.1.2	Mus musculus	Vmax	Vmax		0.00416675		-	katal*l^(-1)
1766	1.1.1.2	Homo sapiens	Kma	Km	Glyceraldehyde	7.0E-5		-	M
1766	1.1.1.2	Homo sapiens	B	concentration	NADPH	1.0E-4		-	M
1766	1.1.1.2	Homo sapiens	A	concentration	Glyceraldehyde	0.02		-	M
1766	1.1.1.2	Homo sapiens	Kmb	Km	NADPH	5.0E-5		-	M
1767	1.1.1.2	Homo sapiens	Km	Km	NADH	0.00222		-	M
1767	1.1.1.2	Homo sapiens	A	concentration	NADH	1.0E-4		-	M
1767	1.1.1.2	Homo sapiens	B	concentration	Glyceraldehyde	0.02		-	M
1768	1.1.1.2	Homo sapiens	B	concentration	NADPH	1.0E-4		-	M
1768	1.1.1.2	Homo sapiens	Kma	Km	D-Glucuronate	0.00253		-	M
1768	1.1.1.2	Homo sapiens	Kmb	Km	NADPH	2.0E-5		-	M
1768	1.1.1.2	Homo sapiens	A	concentration	D-Glucuronate	0.015		-	M
1769	1.1.1.2	Homo sapiens	B	concentration	NADPH	1.0E-4		-	M
1769	1.1.1.2	Homo sapiens	A	concentration	Glyceraldehyde	0.02		-	M
1769	1.1.1.2	Homo sapiens	Km	Km	Glyceraldehyde	0.00667		-	M
1770	1.1.1.2	Homo sapiens	B	concentration	NADPH	1.0E-4		-	M
1770	1.1.1.2	Homo sapiens	Km	Km	Propionaldehyde	2.1E-4		-	M
1771	1.1.1.2	Homo sapiens	Km	Km	Propionaldehyde	0.00263		-	M
1771	1.1.1.2	Homo sapiens	B	concentration	NADPH	1.0E-4		-	M
1772	1.1.1.2	Homo sapiens	B	concentration	NADPH	1.0E-4		-	M
1772	1.1.1.2	Homo sapiens	Km	Km	Pyridine-3-aldehyde	2.0E-5		-	M
1773	1.1.1.2	Homo sapiens	B	concentration	NADPH	1.0E-4		-	M
1773	1.1.1.2	Homo sapiens	Km	Km	Pyridine-3-aldehyde	0.00861		-	M
1774	1.1.1.2	Homo sapiens	B	concentration	NADPH	1.0E-4		-	M
1774	1.1.1.2	Homo sapiens	Km	Km	Glucose	0.215		-	M
2347	1.1.1.2	Bos taurus	Km	Km	4-Carboxybenzaldehyde	4.0E-6		-	M
2347	1.1.1.2	Bos taurus	Vmax	Vmax		7.183333E-7		-	mol*s^(-1)*g^(-1)
2348	1.1.1.2	Bos taurus	Km	Km	4-Hydroxyphenylacetaldehyde	5.7E-5		-	M
2348	1.1.1.2	Bos taurus	Vmax	Vmax		2.301667E-6		-	mol*s^(-1)*g^(-1)
2349	1.1.1.2	Bos taurus	Km	Km	4-Hydroxyphenylglycolaldehyde	1.6E-5		-	M
2349	1.1.1.2	Bos taurus	Vmax	Vmax		4.221667E-6		-	mol*s^(-1)*g^(-1)
2350	1.1.1.2	Bos taurus	Vmax	Vmax		3.15E-7		-	mol*s^(-1)*g^(-1)
2350	1.1.1.2	Bos taurus	Km	Km	4-Tolualdehyde	2.0E-5		-	M
2350	1.1.1.2	Bos taurus	A	concentration	NADPH	1.6E-4		-	M
2351	1.1.1.2	Bos taurus	Km	Km	4-Nitrobenzaldehyde	6.0E-6		-	M
2351	1.1.1.2	Bos taurus	A	concentration	NADPH	1.6E-4		-	M
2351	1.1.1.2	Bos taurus	Vmax	Vmax		1.183333E-6		-	mol*s^(-1)*g^(-1)
2352	1.1.1.2	Bos taurus	Vmax	Vmax		7.25E-7		-	mol*s^(-1)*g^(-1)
2352	1.1.1.2	Bos taurus	Km	Km	3-Chlorobenzaldehyde	7.0E-6		-	M
2352	1.1.1.2	Bos taurus	A	concentration	NADPH	1.6E-4		-	M
2353	1.1.1.2	Bos taurus	Vmax	Vmax		6.066667E-7		-	mol*s^(-1)*g^(-1)
2353	1.1.1.2	Bos taurus	Km	Km	4-Cyanobenzaldehyde	5.0E-6		-	M
2353	1.1.1.2	Bos taurus	A	concentration	NADPH	1.6E-4		-	M
2354	1.1.1.2	Bos taurus	A	concentration	NADPH	1.6E-4		-	M
2354	1.1.1.2	Bos taurus	Vmax	Vmax		5.366667E-7		-	mol*s^(-1)*g^(-1)
2354	1.1.1.2	Bos taurus	Km	Km	3-Methoxybenzaldehyde	2.7E-5		-	M
2355	1.1.1.2	Bos taurus	Vmax	Vmax		2.1E-7		-	mol*s^(-1)*g^(-1)
2355	1.1.1.2	Bos taurus	Km	Km	4-Methoxybenzaldehyde	1.41E-4		-	M
2355	1.1.1.2	Bos taurus	A	concentration	NADPH	1.6E-4		-	M
2356	1.1.1.2	Bos taurus	A	concentration	NADPH	1.6E-4		-	M
2356	1.1.1.2	Bos taurus	Vmax	Vmax		3.8E-7		-	mol*s^(-1)*g^(-1)
2356	1.1.1.2	Bos taurus	Km	Km	Benzaldehyde	1.7E-5		-	M
15637	1.1.1.2	Rattus norvegicus	Vmax	Vmax				-	-
15637	1.1.1.2	Rattus norvegicus	B	concentration	NADPH	1.5E-4		-	M
15637	1.1.1.2	Rattus norvegicus	Km	Km	Methylglyoxal	0.0012		-	M
15637	1.1.1.2	Rattus norvegicus	A	concentration	Methylglyoxal	1.0E-5	0.007	-	M
15638	1.1.1.2	Rattus norvegicus	Km	Km	Glyceraldehyde	0.013		-	M
15638	1.1.1.2	Rattus norvegicus	Vmax	Vmax				-	-
15638	1.1.1.2	Rattus norvegicus	B	concentration	NADPH	1.5E-4		-	M
15638	1.1.1.2	Rattus norvegicus	A	concentration	Glyceraldehyde	1.0E-4	0.02	-	M
15639	1.1.1.2	Rana perezi	kcat_Km	kcat/Km	all-trans-Retinal	563333.3		-	M^(-1)*s^(-1)
15640	1.1.1.2	Rana perezi	kcat_Km	kcat/Km	13-cis-Retinal	70000.0		-	M^(-1)*s^(-1)
15641	1.1.1.2	Rana perezi	S	concentration	Ethanol	0.0	1.0	-	M
15641	1.1.1.2	Rana perezi	Km	Km	Ethanol	0.6		-	M
15641	1.1.1.2	Rana perezi	NADP	concentration	NADP+	0.0012		-	M
17589	1.1.1.2	Gallus gallus	B	concentration	NADPH	8.0E-5		-	M
17589	1.1.1.2	Gallus gallus	Vmax	Vmax		3.283333E-4		-	mol*s^(-1)*g^(-1)
17589	1.1.1.2	Gallus gallus	Km	Km	4-Pyridinecarboxaldehyde	0.004		-	M
17589	1.1.1.2	Gallus gallus	A	concentration	4-Pyridinecarboxaldehyde			-	-
17590	1.1.1.2	Gallus gallus	A	concentration	3-Pyridinecarboxaldehyde			-	-
17590	1.1.1.2	Gallus gallus	Vmax	Vmax		4.166667E-4		-	mol*s^(-1)*g^(-1)
17590	1.1.1.2	Gallus gallus	Km	Km	3-Pyridinecarboxaldehyde	0.003		-	M
17590	1.1.1.2	Gallus gallus	B	concentration	NADPH	8.0E-5		-	M
17591	1.1.1.2	Gallus gallus	Km	Km	p-Nitrobenzaldehyde	0.0012		-	M
17591	1.1.1.2	Gallus gallus	B	concentration	NADPH	8.0E-5		-	M
17591	1.1.1.2	Gallus gallus	Vmax	Vmax		4.466667E-4		-	mol*s^(-1)*g^(-1)
17591	1.1.1.2	Gallus gallus	A	concentration	p-Nitrobenzaldehyde			-	-
17592	1.1.1.2	Gallus gallus	A	concentration	m-Nitrobenzaldehyde			-	-
17592	1.1.1.2	Gallus gallus	Km	Km	m-Nitrobenzaldehyde	0.0039		-	M
17592	1.1.1.2	Gallus gallus	B	concentration	NADPH	8.0E-5		-	M
17592	1.1.1.2	Gallus gallus	Vmax	Vmax		4.0E-5		-	mol*s^(-1)*g^(-1)
17593	1.1.1.2	Gallus gallus	Vmax	Vmax		6.166667E-5		-	mol*s^(-1)*g^(-1)
17593	1.1.1.2	Gallus gallus	A	concentration	o-Nitrobenzaldehyde			-	-
17593	1.1.1.2	Gallus gallus	Km	Km	o-Nitrobenzaldehyde	0.0046		-	M
17593	1.1.1.2	Gallus gallus	B	concentration	NADPH	8.0E-5		-	M
17594	1.1.1.2	Gallus gallus	A	concentration	4-Carboxybenzaldehyde	0.0	0.0037	-	M
17594	1.1.1.2	Gallus gallus	Vmax	Vmax		4.133333E-4		-	mol*s^(-1)*g^(-1)
17594	1.1.1.2	Gallus gallus	B	concentration	NADPH	8.0E-5		-	M
17594	1.1.1.2	Gallus gallus	Km	Km	4-Carboxybenzaldehyde	5.6E-5		-	M
17595	1.1.1.2	Gallus gallus	Km	Km	Indole-3-acetaldehyde	0.0037		-	M
17595	1.1.1.2	Gallus gallus	Vmax	Vmax		1.8E-4		-	mol*s^(-1)*g^(-1)
17595	1.1.1.2	Gallus gallus	B	concentration	NADPH	8.0E-5		-	M
17595	1.1.1.2	Gallus gallus	A	concentration	Indole-3-acetaldehyde			-	-
17596	1.1.1.2	Gallus gallus	Km	Km	Phenylglyoxal	0.0016		-	M
17596	1.1.1.2	Gallus gallus	A	concentration	Phenylglyoxal			-	-
