locus_tag,gene_name,gene_product,essentiality,primary_function
JCVISYN3A_0655,rplR,50S ribosomal protein L18,Essential,Genetic Information Processing
JCVISYN3A_0656,rplF,50S ribosomal protein L6,Essential,Genetic Information Processing
JCVISYN3A_0657,rpsH,30S ribosomal protein S8,Essential,Genetic Information Processing
JCVISYN3A_0658,rpsN,30S ribosomal protein S14,Essential,Genetic Information Processing
JCVISYN3A_0659,rplE,50S ribosomal protein L5,Essential,Genetic Information Processing
JCVISYN3A_0660,rplX,50S ribosomal protein L24,Essential,Genetic Information Processing
JCVISYN3A_0661,rplN,50S ribosomal protein L14,Essential,Genetic Information Processing
JCVISYN3A_0662,rpsQ,30S ribosomal protein S17,Essential,Genetic Information Processing
JCVISYN3A_0663,rpmC,50S ribosomal protein L29,Essential,Genetic Information Processing
JCVISYN3A_0664,rplP,50S ribosomal protein L16,Essential,Genetic Information Processing
JCVISYN3A_0665,rpsC,30S ribosomal protein S3,Essential,Genetic Information Processing
JCVISYN3A_0666,rplV,50S ribosomal protein L22,Essential,Genetic Information Processing
JCVISYN3A_0667,rpsS,30S ribosomal protein S19,Essential,Genetic Information Processing
JCVISYN3A_0668,rplB,50S ribosomal protein L2,Essential,Genetic Information Processing
JCVISYN3A_0669,rplW,50S ribosomal protein L23,Essential,Genetic Information Processing
JCVISYN3A_0670,rplD,50S ribosomal protein L4,Essential,Genetic Information Processing
JCVISYN3A_0671,rplC,50S ribosomal protein L3,Essential,Genetic Information Processing
JCVISYN3A_0672,rpsJ,30S ribosomal protein S10,Essential,Genetic Information Processing
JCVISYN3A_0684,folD,"Bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase",Quasiessential,Metabolism
JCVISYN3A_0685,ktrD,Sodium transporter,Essential,Metabolism
JCVISYN3A_0686,ktrC,Potassium transporter,Essential,Metabolism
JCVISYN3A_0687,gatB,Glutamyl-tRNA amidotransferase subunit B,Essential,Genetic Information Processing
JCVISYN3A_0688,gatA,Glutamyl-tRNA amidotransferase subunit A,Essential,Genetic Information Processing
JCVISYN3A_0689,gatC,Glutamyl-tRNA amidotransferase subunit C,Essential,Genetic Information Processing
JCVISYN3A_0690,ligA,DNA ligase (NAD(+)),Essential,Genetic Information Processing
JCVISYN3A_0691,,Uncharacterized protein,Essential,Unclear
JCVISYN3A_0692,rluC,Uncharacterized pseudouridine synthase,Nonessential,Genetic Information Processing
JCVISYN3A_0693,,Uncharacterized protease,Essential,Genetic Information Processing
JCVISYN3A_0694,ptsH,ptsH: Phosphocarrier protein,Essential,Metabolism
JCVISYN3A_0695,pcrA,ATP-dependent DNA helicase,Quasiessential,Genetic Information Processing
JCVISYN3A_0696,,Uncharacterized transporter,Essential,Metabolism
JCVISYN3A_0697,,Uncharacterized glycosyl transferase,Quasiessential,Metabolism
JCVISYN3A_0706,thiP,Thiamine ABC transporter permease,Quasiessential,Metabolism
JCVISYN3A_0707,thiQ,Thiamine ABC transporter ATP-binding protein,Quasiessential,Metabolism
JCVISYN3A_0708,thiB,Thiamine ABC transporter substrate-binding protein,Quasiessential,Metabolism
JCVISYN3A_0710,,Low specificity hydrolase ,Quasiessential,Unclear
JCVISYN3A_0726,nagB,Glucosamine-6-phosphate deaminase,Nonessential,Metabolism
JCVISYN3A_0727,tpiA,Triose-phosphate isomerase,Essential,Metabolism
JCVISYN3A_0728,ycsE; YitU; ywtE,Low specificity hydrolase ,Nonessential,Unclear
JCVISYN3A_0729,pgm,"Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",Essential,Metabolism
JCVISYN3A_0730,,Uncharacterized protein,Quasiessential,Unclear
JCVISYN3A_0732,deoC,Deoxyribose-phosphate aldolase,Nonessential,Metabolism
JCVISYN3A_0733,deoB,Phosphopentomutase,Essential,Metabolism
JCVISYN3A_0747,punA,Purine-nucleoside phosphorylase,Quasiessential,Metabolism
JCVISYN3A_0771,nrdE,Ribonucleotide-diphosphate reductase subunit alpha,Quasiessential,Genetic Information Processing
JCVISYN3A_0772,nrdI,Ribonucleotide reductase assembly protein,Essential,Metabolism
JCVISYN3A_0773,nrdF,Ribonucleoside-diphosphate reductase subunit beta,Quasiessential,Genetic Information Processing
JCVISYN3A_0774,secG,Preprotein translocase subunit,Quasiessential,Genetic Information Processing
JCVISYN3A_0775,rnr,Ribonuclease R,Essential,Genetic Information Processing
JCVISYN3A_0776,smpB,SsrA-binding protein,Essential,Genetic Information Processing
JCVISYN3A_0777,,Uncharacterized protein,Quasiessential,Unclear
JCVISYN3A_0778,,Uncharacterized protein,Essential,Unclear
JCVISYN3A_0779,ptsG,PTS sugar transporter,Essential,Metabolism
JCVISYN3A_0787,mgtA,Magnesium-translocating P-type ATPase,Essential,Metabolism
JCVISYN3A_0789,atpC,F1 ATP synthase subunit epsilon,Essential,Metabolism
JCVISYN3A_0790,atpD,F1 ATP synthase subunit beta,Essential,Metabolism
JCVISYN3A_0791,atpG,F1 ATP synthase subunit gamma,Essential,Metabolism
JCVISYN3A_0792,atpA,F1 ATP synthase subunit alpha,Essential,Metabolism
JCVISYN3A_0793,atpH,F1 ATP synthase subunit delta,Essential,Metabolism
JCVISYN3A_0794,atpF,F0 ATP synthase subunit B,Essential,Metabolism
JCVISYN3A_0795,atpE,F0 ATP synthase subunit C,Essential,Metabolism
JCVISYN3A_0796,atpB,F0 ATP synthase subunit A,Essential,Metabolism
JCVISYN3A_0797,atpI,Uncharacterized protein/Chaperon for ATP Synthase C-ring formation,Essential,Unclear
JCVISYN3A_0798,upp,Uracil phosphoribosyltransferase,Essential,Metabolism
JCVISYN3A_0799,glyA,Serine hydroxymethyltransferase,Quasiessential,Metabolism
JCVISYN3A_0800,rpiB,Ribose 5-phosphate isomerase B,Quasiessential,Metabolism
JCVISYN3A_0803,rpoC,DNA-directed RNA polymerase subunit beta',Essential,Genetic Information Processing
JCVISYN3A_0804,rpoB,DNA-directed RNA polymerase subunit beta,Essential,Genetic Information Processing
JCVISYN3A_0805,-/fic,"Uncharacterized protein/Filamentation, Protein Adenylation",Essential,Unclear
JCVISYN3A_0806,rplG,50S ribosomal protein L7/L12,Essential,Genetic Information Processing
JCVISYN3A_0807,rplJ,50S ribosomal protein L10,Essential,Genetic Information Processing
JCVISYN3A_0809,rplA,50S ribosomal protein L1,Quasiessential,Genetic Information Processing
JCVISYN3A_0810,rplK,50S ribosomal protein L11,Quasiessential,Genetic Information Processing
JCVISYN3A_0813,galE,UDP-glucose 4-epimerase GalE,Essential,Metabolism
JCVISYN3A_0814,glf,UDP-galactopyranose mutase,Essential,Metabolism
JCVISYN3A_0817,whiA/whiA,"Uncharacterized DNA-binding protein/Cell Division, Chromosome Segregation Regulation",Quasiessential,Genetic Information Processing
JCVISYN3A_0818,lgt,Diacylglyceryl transferase,Essential,Metabolism
JCVISYN3A_0819,trx,Thioredoxin-disulfide reductase,Essential,Metabolism
JCVISYN3A_0820,lgt,Diacylglyceryl transferase,Essential,Metabolism
JCVISYN3A_0821,hpr; ptsH,HPr(Ser) kinase/phosphatase,Nonessential,Metabolism
JCVISYN3A_0822,ecfS,ecsF / folate ,Quasiessential,Metabolism
JCVISYN3A_0823,folC,Dihydrofolate synthase,Quasiessential,Metabolism
JCVISYN3A_0824,uvrA,Excinuclease ABC subunit A,Quasiessential,Genetic Information Processing
JCVISYN3A_0825,uvrB,Excinuclease ABC subunit B,Quasiessential,Genetic Information Processing
JCVISYN3A_0826,yqeN,DNA polymerase III subunit delta,Essential,Genetic Information Processing
JCVISYN3A_0827,,Uncharacterized protein,Quasiessential,Unclear
JCVISYN3A_0830,-/yqxA-like,Uncharacterized protein/Growth factor,Nonessential,Unclear
JCVISYN3A_0831,prs,Phosphoribosylpyrophosphate synthetase,Essential,Metabolism
JCVISYN3A_0832,pth,Aminoacyl-tRNA hydrolase,Essential,Genetic Information Processing
JCVISYN3A_0833,rplI,50S ribosomal protein L9,Quasiessential,Genetic Information Processing
JCVISYN3A_0834,dnaC,Replicative DNA helicase,Essential,Genetic Information Processing
JCVISYN3A_0835,,Uncharacterized lipoprotein,Essential,Unclear
JCVISYN3A_0836,ecfS,Uncharacterized ECF transporter S component,Essential,Metabolism
JCVISYN3A_0837,cysRS,Cysteine--tRNA ligase,Essential,Metabolism
JCVISYN3A_0838,rlmB,23S rRNA (guanosine(2251)-2'-O)-methyltransferase,Nonessential,Genetic Information Processing
JCVISYN3A_0932,rpmG,50S ribosomal protein L33,Quasiessential,Genetic Information Processing
JCVISYN3A_0839,secE,Preprotein translocase subunit,Essential,Genetic Information Processing
JCVISYN3A_0840,nusG,Antitermination protein,Quasiessential,Genetic Information Processing
JCVISYN3A_0851,,Uncharacterized lipoprotein,Nonessential,Unclear
JCVISYN3A_0852,,Uncharacterized protein,Nonessential,Unclear
JCVISYN3A_0853,,Uncharacterized protein,Nonessential,Unclear
JCVISYN3A_0859,topA,DNA topoisomerase I,Essential,Genetic Information Processing
JCVISYN3A_0870,,Uncharacterized C4-dicarboxylate ABC transporter,Quasiessential,Metabolism
JCVISYN3A_0872,ychF/ychF,Uncharacterized ATPase/Ribosome Binding Factor ATPase,Quasiessential,Genetic Information Processing
JCVISYN3A_0873,,Uncharacterized protein,Quasiessential,Unclear
JCVISYN3A_0874,rsmG,16S rRNA (guanine(527)-N(7))-methyltransferase,Nonessential,Genetic Information Processing
JCVISYN3A_0875,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Essential,Metabolism
JCVISYN3A_0876,,Uncharacterized amino acid permease,Nonessential,Metabolism
JCVISYN3A_0877,fmnP; ribU,Riboflavin ECF transporter S component ,Essential,Metabolism
JCVISYN3A_0878,-/gabP,Uncharacterized amino acid permease/amino acid transporter,Quasiessential,Metabolism
JCVISYN3A_0879,corA,magnesium-importing ATPase ,Essential,Metabolism
JCVISYN3A_0881,,Uncharacterized MFS transporter,Essential,Metabolism
JCVISYN3A_0885,mnmG; gidA,tRNA uridine(34) 5-carboxymethylaminomethyl synthesis enzyme,Quasiessential,Genetic Information Processing
JCVISYN3A_0886,gltP,Proton-glutamate symporter,Quasiessential,Metabolism
JCVISYN3A_0887,cdr,Coenzyme A Disulfide Reductase,Quasiessential,Metabolism
JCVISYN3A_0906,,Uncharacterized protein,Essential,Unclear
JCVISYN3A_0907,,Low specificity hydrolase ,Quasiessential,Unclear
JCVISYN3A_0908,yidC,Membrane protein insertase,Essential,Genetic Information Processing
JCVISYN3A_0909,rnpA,Ribonuclease P protein component,Essential,Genetic Information Processing
JCVISYN3A_0910,rpmH,50S ribosomal protein L34,Quasiessential,Genetic Information Processing
