locus_tag,gene_name,gene_product,essentiality,primary_function
JCVISYN3A_0235,,Uncharacterized protein,Quasiessential,Unclear
JCVISYN3A_0238,rpsD,30S ribosomal protein S4,Essential,Genetic Information Processing
JCVISYN3A_0239,-/ezrA,Uncharacterized protein/FtsZ filament regulator,Nonessential,Unclear
JCVISYN3A_0240,thiI,tRNA 4-thiouridine(8) synthase,Quasiessential,Genetic Information Processing
JCVISYN3A_0247,ysxC; yihA,Ribosome biogenesis GTP-binding protein,Essential,Genetic Information Processing
JCVISYN3A_0248,,Uncharacterized protein,Nonessential,Unclear
JCVISYN3A_0249,,Uncharacterized protein,Essential,Unclear
JCVISYN3A_0250,,Uncharacterized protein,Nonessential,Unclear
JCVISYN3A_0253,greA,Transcription elongation factor,Essential,Genetic Information Processing
JCVISYN3A_0254,uvrC,Excinuclease ABC subunit C,Quasiessential,Genetic Information Processing
JCVISYN3A_0257,rnjB,RNase J family beta-CASP ribonuclease,Essential,Genetic Information Processing
JCVISYN3A_0259,nadK,NAD(+) kinase,Essential,Metabolism
JCVISYN3A_0260,valRS,Valine--tRNA ligase,Essential,Metabolism
JCVISYN3A_0262,rpe,Ribulose-phosphate 3-epimerase,Quasiessential,Metabolism
JCVISYN3A_0263,rsgA; engC,Ribosome small subunit-dependent GTPase A,Quasiessential,Genetic Information Processing
JCVISYN3A_0264,prkC; stkP,Uncharacterized serine/threonine protein kinase,Quasiessential,Metabolism
JCVISYN3A_0270,tsaE; yjeE,tRNA (N6-adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase,Essential,Genetic Information Processing
JCVISYN3A_0271,tsaB; yeaZ,tRNA N6-adenosine(37)-N6-threonylcarbamoyltransferase complex dimerization subunit,Essential,Genetic Information Processing
JCVISYN3A_0281,,Uncharacterized protein,Essential,Unclear
JCVISYN3A_0282,proRS,Proline--tRNA ligase,Essential,Metabolism
JCVISYN3A_0283,rnhA,Double-stranded RNA binding RNase HI,Essential,Genetic Information Processing
