target,confidence,machine,n_convergent_KOs,in_named_complex,coherence_p,converging_KOs
GNPNAT1,-0.0,,3,0,1.0,CBX1|CPNE7|ELOVL1
RFC2,-0.0,,3,0,1.0,TNRC6A|TRAPPC3|CD2BP2
XRN2,-0.0,,4,0,1.0,CENPW|ZMAT5|MOCS3|DDN
SPATC1L,-0.0,,3,0,1.0,CIAO1|ALG14|ARID3A
WDR12,-0.0,,3,0,1.0,CUL2|CARF|PYURF
CRELD2,-0.0,,7,0,1.0,HSPA5|ARF4|DAD1|NFYC|DERL2|CALR|GMPPB
PLP2,-0.0,,3,0,1.0,MRPL14|ARL4D|ELP2
NDUFB8,-0.0,,3,0,1.0,SNRNP27|NRF1|GTF3C6
LAMTOR1,-0.0,,3,0,1.0,RRP1|HJURP|TMEM214
DNAJB9,-0.0,,4,0,1.0,HSPA5|SLC39A7|VCP|SEC61G
TXN2,-0.0,,3,0,1.0,CPEB1|SRCAP|ISG20L2
CEBPZ,-0.0,,4,0,1.0,NDUFAF7|JAZF1|RBMXL1|DDX19A
DBN1,-0.0,,3,0,1.0,TBX1|PTPMT1|JAZF1
PFKL,-0.0,,3,0,1.0,CLASRP|TBX1|JAZF1
RTRAF,-0.0,,4,0,1.0,NF1|HMX3|LAMTOR3|HIPK1
SSR3,-0.0,,3,0,1.0,METTL17|SPCS3|SEC63
SRXN1,-0.0,,3,0,1.0,NAE1|KEAP1|METTL21A
KDELR1,-0.0,,4,0,1.0,NCAPH2|MRPS33|PTBP1|SMAGP
HSBP1,-0.0,,3,0,1.0,ATP11B|NDUFB10|TPT1
MPG,-0.0,,4,0,1.0,POP7|NRF1|BCR|TWF1
ST13,-0.0,,3,0,1.0,ORC6|KLHL17|LTBP4
AGPS,-0.0,,3,0,1.0,PPIH|DNAJC8|YRDC
CLTA,-0.0,,3,0,1.0,XRCC3|PTBP1|ARPC1B
GANAB,-0.0,,3,0,1.0,TRA2B|RAB4A|PYURF
SSR1,-0.0,,3,0,1.0,SEC61B|SEC63|NEDD1
FAAP20,-0.0,,3,0,1.0,SIGLEC14|HSF1|HOXA3
EMC9,-0.0,,3,0,1.0,SMG5|CLOCK|SRSF10
TMEM141,-0.0,,3,0,1.0,SRRM2|TMEM127|CCNK
YWHAB,-0.0,,3,0,1.0,DRG1|SETX|SUGP1
LCN2,-0.0,,5,0,1.0,EIF2B2|PRELID1|PHB2|FARSA|RPL12
EIF4E2,-0.0,,4,0,1.0,NUB1|BAG6|POU3F1|TIGD1
ESD,-0.0,,3,0,1.0,TNRC6A|COMTD1|HNRNPA1
