line,target,confidence,sign,machine,n_convergent_KOs,in_named_complex,coherence_p,converging_KOs
RPE1,BRD2,0.8,up,Nonsense Mediated Decay (NMD) enhanced by th,9,4,6.13093912989096e-13,XRN1|SMG5|POU3F1|CLOCK|SMG7|SMG1|SMG6|TRPM7|PPIL1
RPE1,SSR2,0.8,down,mRNA Splicing - Minor Pathway,12,4,1.1228059842779427e-11,FUNDC2|PDCD7|KDM2A|SNRNP25|DHX29|POLR3K|SNRNP35|KCMF1|DDX59|GTF2F1
RPE1,SEMA7A,0.8,up,MicroRNA (miRNA) biogenesis,5,4,2.4338570540267262e-14,DROSHA|DGCR8|DICER1|XPO5|GLRX3
RPE1,TGFBR2,0.8,up,MicroRNA (miRNA) biogenesis,5,4,2.4338570540267262e-14,DGCR8|DROSHA|DICER1|HMGN2|XPO5
RPE1,VPS35,0.8,up,mitochondrial large ribosomal subunit,4,4,8.78626530092395e-11,MRPL28|MRPL54|MRPL50|MRPL16
RPE1,NUCB2,0.784,up,oligosaccharyltransferase complex A,19,4,1.5792439524102582e-10,HSPA5|ARF4|DERL2|SLC39A7|SEC61B|RPN1|TMEM258|ALG2|DDOST|RPN2
RPE1,VMP1,0.781,up,Nuclear RNA decay,6,4,1.7458465143965015e-10,ZFC3H1|MTREX|ZC3H3|EXOSC5|MRPL23|PPIL1
RPE1,IL11,0.718,up,HCMV Late Events,15,4,1.0470584906379233e-09,CHMP2A|MED12|VPS28|CHMP6|CHMP3|TSG101|UBAP1|VPS25|SUPT20H|TADA1
RPE1,RPL36AL,0.7,up,Processing of Capped Intron-Containing Pre-m,5,3,1.3378587916422106e-11,METTL3|METTL14|WTAP|CA5A|CACNB3
RPE1,SEC13,0.7,up,GET complex,7,3,4.682505770747738e-11,TMED10|TMED2|EARS2|CAMLG|RAD9A|GET1|GET3
RPE1,ANKRD12,0.691,up,THO complex,5,3,1.3376153882214273e-10,EIF5A|THOC1|THOC5|THOC7|PCID2
RPE1,TMEM50B,0.67,up,oligosaccharyltransferase complex B,5,3,2.674987390737452e-10,ARF4|DAD1|CALR|TMEM258|RPN2
RPE1,WHAMM,0.67,up,Nonsense Mediated Decay (NMD) enhanced by th,5,3,2.674987390737452e-10,UPF1|SMG5|CASC3|CLOCK|SMG6
RPE1,ADAM19,0.67,up,MicroRNA (miRNA) biogenesis,5,3,2.674987390737452e-10,DROSHA|DGCR8|PPP6C|XPO5|NDUFS3
RPE1,SMG1,0.653,up,nonsense-mediated decay complex,7,3,4.680802029474031e-10,SMG5|UPF2|SMG7|RPL7A|CLOCK|SMG6|LURAP1
RPE1,PMF1,0.652,up,INTAC complex,3,3,4.869806001577647e-10,INTS10|INTS14|INTS13
RPE1,CDK6,0.649,up,MicroRNA (miRNA) biogenesis,6,3,5.349244695216636e-10,DGCR8|DICER1|CDCA8|XPO5|SGPP1|NOP56
RPE1,EMC9,0.632,up,Nonsense Mediated Decay (NMD) enhanced by th,7,3,9.35990068967227e-10,UPF1|SMG5|CLOCK|SRSF10|SMG6|SLC35G6|PRKRIP1
RPE1,SCO2,0.625,up,RNA N6-methyladenosine methyltransferase complex,4,3,1.1768337861798439e-09,RPL7A|METTL3|METTL14|RBM15
HepG2,LARP6,1.0,up,Recycling of eIF2:GDP,23,7,2.980132911527618e-20,EIF2S1|EIF2S3|HSPA9|PHB2|EIF2B3|FARSB|EIF2B4|SLC25A42|EIF2B5|FARSA
HepG2,RASSF1,1.0,up,nuclear pore,15,7,3.603670288259028e-13,CSE1L|DLD|NUP62|NUTF2|KPNB1|ATF5|SMG7|NUP54|RAN|ANKRD17
HepG2,ACSS2,1.0,up,Ion channel transport,13,6,1.6597052703267895e-15,ATP6V1A|ATP6V1B2|ATP6AP1|ATP6V0C|ATP6V1F|ATP6V1C1|SMARCC1|ATP6V1G1|SCD|HMGCR
HepG2,ZFP36L2,1.0,up,nuclear pore,10,6,2.5923765241737168e-12,NUP62|ATF5|GLE1|NUTF2|GATA1|YARS2|NUP88|NUP214|SNUPN|RCC1
HepG2,LCN2,1.0,up,proteasome complex,51,15,2.0684537352194903e-29,EIF2S1|EIF2S3|EIF2B3|HSPA9|FARSB|SLC25A42|EIF2B4|PSMC5|EIF2B5|PSMC1
HepG2,NDRG1,1.0,up,Ion channel transport,21,8,1.1263722799813341e-19,CDCA8|ATP6AP1|ATP6V1A|ATP6V0B|ATP6V1B2|ELOB|ATP6AP2|ATP6V1F|ATP6V0C|TPX2
HepG2,MLLT11,1.0,up,proteasome complex,14,10,8.4732689213019e-25,PSMB5|PSMC1|PSMC5|PSMB3|PSMA3|PSMB2|PSMC2|PSMD11|NEDD8|PSMC6
HepG2,TUBA4A,1.0,up,proteasome complex,12,10,5.603449716586319e-26,PSMB5|PSMB3|PSMC5|PSMA1|PSMC1|PSMB2|PSMC4|PSMA3|PSMC6|CHMP2A
HepG2,GABARAPL1,1.0,up,proteasome complex,14,10,8.4732689213019e-25,PSMA1|PSMA3|PSMB5|PSMC5|PSMB2|PSMB3|RBM22|PSMC1|PSMA4|PSMC6
HepG2,PPP1R10,1.0,up,Nuclear RNA decay,17,11,2.587048063924483e-27,EXOSC8|WDR82|EXOSC2|EXOSC9|MTREX|EXOSC4|DIS3|CLNS1A|EXOSC5|EXOSC3
HepG2,TNFSF14,1.0,up,mRNA Polyadenylation,11,6,8.77802608837358e-12,FIP1L1|SYMPK|PHF10|CSTF3|CPSF3|PPP1R10|SSU72|SARNP|ITGB1BP1|CSTF1
HepG2,TENT5A,1.0,up,nuclear pore,16,9,1.3136507283022076e-17,GLE1|SEC13|CSE1L|HAUS4|NUP155|NUP107|PIK3R4|RANGAP1|MCM3AP|NUP88
HepG2,SERPINE2,1.0,up,Viral mRNA Translation,21,9,1.1025248180561998e-16,CTR9|EIF3G|RPS17|PAF1|RPS16|RPS5|RPS6|RPS23|RPSA|RPS13
HepG2,KISS1,1.0,up,mRNA Capping,20,7,2.3622241341984526e-15,SUPT5H|RPAP1|RUVBL1|POLR2H|CUL7|POLR2A|SNRNP70|POLR2B|RPAP2|POLR2C
HepG2,VMP1,1.0,up,Nuclear RNA decay,17,12,1.650523730779279e-30,EXOSC8|EXOSC2|EXOSC9|EXOSC4|EXOSC3|MTREX|EXOSC5|EXOSC6|DIS3|EXOSC7
HepG2,MTHFD2L,1.0,up,Nuclear RNA decay,15,11,2.860040491043277e-28,ZFC3H1|EXOSC9|MTREX|EXOSC2|EXOSC8|DIS3|EXOSC4|EXOSC3|EXOSC5|MBNL1
HepG2,CNBD2,1.0,up,Nuclear RNA decay,8,6,9.06339440187335e-16,MTREX|EXOSC3|ZFC3H1|DIS3|EXOSC7|EXOSC5|MRPL45|ZDHHC7
HepG2,EPN3,1.0,up,nuclear exosome (RNase complex),10,9,4.607987284850001e-28,EXOSC6|EXOSC8|EXOSC4|MTREX|EXOSC3|EXOSC2|EXOSC9|EXOSC5|EXOSC7|MBNL1
HepG2,COPZ1,0.9,down,Ino80 complex,16,5,1.979489751569988e-13,WDR33|ACTR5|ACTR8|INO80C|INO80B|SCAF1|TUBA3D|PGPEP1|INO80|ISCU
HepG2,AAMDC,0.9,up,INTAC complex,6,5,1.1816685912909192e-15,INTS8|INTS5|INTS7|INTS6|ADAM10|INTS1
HepG2,CLIC3,0.9,up,Ion channel transport,15,5,3.4124289173796527e-12,ATP6AP1|ATP6V1A|YKT6|ATP6V1B2|SMARCC1|ATP6V0B|ATP6V1E1|ARHGAP6|ATP6V1G1|AP2M1
HepG2,ARL2,0.9,down,mRNA Splicing - Minor Pathway,10,5,1.3878330219813391e-15,MRPS33|SNRNP48|SNRNP35|SNRNP25|SNX15|ZMAT5|PDCD7|POLR3C|USP10|ZNF706
HepG2,MRPS12,0.9,up,RNA N6-methyladenosine methyltransferase complex,7,5,1.6357430068803494e-15,ZC3H13|METTL14|METTL3|RBM15|SPAG7|FOXL2|WTAP
HepG2,HSPA1B,0.9,up,proteasome complex,11,5,1.962843610054161e-11,PSMC1|PSMA3|PSMB5|PSMB3|KCTD10|ZNF830|SRP68|PSMB6|HSPA8|SRPRB
HepG2,ADM,0.9,up,INTAC complex,7,5,4.133958586545781e-15,INTS5|INTS8|INTS2|NELFA|INTS7|INTS6|NDUFB7
HepG2,ZNF593,0.8,up,RNA N6-methyladenosine methyltransferase complex,8,4,1.1228059842779427e-11,ZC3H13|METTL14|CBLL1|METTL3|GTF3C3|PTK2|PDHA1|UNC45A
