line,target,confidence,sign,machine,n_convergent_KOs,in_named_complex,coherence_p,converging_KOs
Jurkat,CCDC88C,0.595,up,Nonsense Mediated Decay (NMD) enhanced by th,10,3,3.2077950352147956e-09,CASC3|XRN1|SMG5|SMG7|SMG1|POU3F1|CLOCK|SCFD1|YBX1|SLC39A10
Jurkat,CREBRF,0.583,up,mRNA Polyadenylation,8,4,5.2118110539791114e-08,SLU7|U2AF1|XAB2|SF3A3|CDC5L|SF3B3|SF3B5|EIF4A3
Jurkat,DHCR7,0.582,up,COPI-dependent Golgi-to-ER retrograde traffi,14,3,4.864934129079314e-09,ATP6V1C1|HMGCR|BGLAP|ATP6V1E1|TMSB10|NBAS|BNIP1|EMC7|STX18|TBPL1
Jurkat,TPGS1,0.582,up,INTAC complex,5,3,4.864934129079314e-09,INTS10|INTS13|INTS14|DLD|INPPL1
Jurkat,MPDU1,0.582,up,INTAC complex,5,3,4.864934129079314e-09,INTS10|INTS14|INTS13|ZNF468|SNF8
Jurkat,NEU1,0.582,up,INTAC complex,5,3,4.864934129079314e-09,INTS8|SUPT16H|INTS2|INTS5|NUP133
Jurkat,ID2,0.569,up,mRNA Capping,23,4,7.689150799738145e-08,SUPT5H|MED29|CDC73|TFAP4|SUPT16H|INTS8|PAF1|MED17|MED4|GPN1
Jurkat,NMB,0.561,up,INTAC complex,6,3,9.72499993120386e-09,INTS8|INTS5|INTS1|ASF1B|VPS41|SSBP3
Jurkat,SAR1A,0.559,up,RNA N6-methyladenosine methyltransferase complex,7,3,1.028465424844988e-08,NUDT21|CPSF6|WTAP|METTL14|CBLL1|NDC80|POU5F1B
Jurkat,ERG28,0.557,up,COPI-dependent Golgi-to-ER retrograde traffi,18,3,1.0902036148567384e-08,HGS|HMGCS1|TMSB10|SLC2A8|NUTF2|ATP6V1G1|EMC4|NBAS|TBPL1|EMC7
Jurkat,MTX1,0.55,down,histone acetyltransferase complex,4,3,1.3899175555389586e-08,KANSL2|KANSL3|KAT8|NDUFB7
Jurkat,BLOC1S1,0.548,down,NSL complex,16,3,1.4957453641291465e-08,NUP35|PXN|KANSL2|OSTC|KANSL3|ZNHIT1|YEATS4|HSPH1|ACTR6|KANSL1
Jurkat,NQO2,0.547,up,proteasome core complex,5,3,1.5228013016349102e-08,PSMB7|METTL21A|NAE1|PSMB6|PSMB5
Jurkat,PIGL,0.53,up,Nuclear RNA decay,4,3,2.6508106428742593e-08,EXOSC6|ZFC3H1|ZC3H3|STAT5A
Jurkat,CEP128,0.53,up,INTAC complex,8,3,2.7202757016416197e-08,MRPS18B|RBMX|INTS10|YY1|ZC3H4|INTS13|INTS14|LTBP3
Jurkat,ING5,0.503,up,Nuclear RNA decay,5,3,6.61828549933404e-08,MTREX|ZFC3H1|ZC3H3|CHAF1A|CHCHD2
Jurkat,GBP1,0.488,up,mRNA Splicing - Major Pathway,17,4,8.048784994880812e-07,CNOT2|CNOT3|CCNC|BCAS2|XRCC3|ACTB|SDE2|SYF2|PPIE|CAPZB
Jurkat,METTL16,0.461,up,snRNP Assembly,5,3,2.6110043096137456e-07,SNRPD2|SNRPF|NAA38|SNAPC1|GEMIN6
Jurkat,HERPUD1,0.458,up,oligosaccharyltransferase complex A,26,3,2.903592069188746e-07,DHDDS|SLC35B1|INO80D|HSPA5|NPLOC4|DERL2|ATP6V1A|SPCS2|GMPPB|PREB
Jurkat,ANXA2,0.427,up,replication fork,10,3,7.889709318561629e-07,DNMT1|UHRF1|MLLT6|CEBPG|NEDD8|PSMC4|PI4KA|SNAPC4|XRCC3|HS6ST1
Jurkat,PDRG1,0.424,up,U2-type catalytic step 1 spliceosome,9,3,8.651237506699272e-07,UPF2|UPF1|ISY1|SDE2|TNPO3|CRNKL1|BUD31|NDUFA3|NUP35
Jurkat,BRI3,0.421,up,Macroautophagy,8,3,9.830254883722975e-07,KIF14|KXD1|LAMTOR1|LAMTOR4|HJURP|LAMTOR2|NCAPG2|ZNF706
Jurkat,RHBDD3,0.413,up,"proteasome regulatory particle, base subcomplex",3,2,1.3235704597474723e-07,PSMC6|PSMC1|STAT5A
Jurkat,SLC7A11,0.412,up,tRNA processing in the nucleus,16,3,1.3112301030147446e-06,NEDD8|METTL21A|RBM12|SPCS2|THG1L|RBX1|GTF3C3|NAE1|TSEN54|EIF1
Jurkat,CCNY,0.409,up,SUMO activating enzyme complex,7,2,1.5442904031926043e-07,SAE1|UBE2I|UBA2|ACTR3|SETDB1|SPRTN|IRF2BP2
Jurkat,PTGER4,0.409,up,BRE1 E3 ubiquitin ligase complex,7,2,1.5442904031926043e-07,RNF20|MED24|RNF40|WAC|POLE2|PIAS1|ASF1B
Jurkat,ZFAND2A,0.399,up,nonsense-mediated decay complex,3,2,2.205861575659677e-07,UPF2|SMG7|CLOCK
