tax_id	scientific_name	clade	human_genes_with_ortholog
161453	Dunckerocampus dactyliophorus	ray_finned_fish	9374
166745	Eucyclogobius newberryi	ray_finned_fish	9362
433684	Takifugu flavidus	ray_finned_fish	9352
129043	Cololabis saira	ray_finned_fish	9351
546530	Nerophis lumbriciformis	ray_finned_fish	9351
1203425	Notolabrus celidotus	ray_finned_fish	9343
109282	Hippocampus guttulatus	ray_finned_fish	9325
34816	Morone saxatilis	ray_finned_fish	9309
54383	Eurypyga helias	bird	9307
161469	Phyllopteryx taeniolatus	ray_finned_fish	9295
1091426	Protomyctophum parallelum	ray_finned_fish	9294
55291	Polypterus senegalus	ray_finned_fish	9279
441366	Gouania willdenowi	ray_finned_fish	9268
473322	Nannobrachium achirus	ray_finned_fish	9268
1676925	Paramormyrops kingsleyae	ray_finned_fish	9267
7936	Anguilla anguilla	ray_finned_fish	9266
8078	Fundulus heteroclitus	ray_finned_fish	9262
206093	Electrona antarctica	ray_finned_fish	9259
2059687	Pseudoliparis swirei	ray_finned_fish	9252
109280	Hippocampus comes	ray_finned_fish	9250
150288	Boleophthalmus pectinirostris	ray_finned_fish	9246
208333	Girardinichthys multiradiatus	ray_finned_fish	9233
693459	Phycodurus eques	ray_finned_fish	9233
7938	Anguilla rostrata	ray_finned_fish	9231
161590	Syngnathus scovelli	ray_finned_fish	9229
28743	Cyprinodon variegatus	ray_finned_fish	9217
56716	Cottoperca gobio	ray_finned_fish	9217
118141	Megalops cyprinoides	ray_finned_fish	9210
270530	Synchiropus splendidus	ray_finned_fish	9205
31033	Takifugu rubripes	ray_finned_fish	9193
82655	Conger conger	ray_finned_fish	9186
7897	Latimeria chalumnae	lobe_finned_fish	9184
271503	Cebidichthys violaceus	ray_finned_fish	9183
948063	Notolepis coatsorum	ray_finned_fish	9178
137520	Hypomesus transpacificus	ray_finned_fish	9174
48698	Poecilia formosa	ray_finned_fish	9173
181472	Salarias fasciatus	ray_finned_fish	9169
161584	Syngnathus acus	ray_finned_fish	9166
390379	Thalassophryne amazonica	ray_finned_fish	9166
451745	Nematolebias whitei	ray_finned_fish	9161
166261	Centroberyx affinis	ray_finned_fish	9150
42636	Brienomyrus brachyistius	ray_finned_fish	9145
109293	Hippocampus zosterae	ray_finned_fish	9142
160734	Plectropomus leopardus	ray_finned_fish	9141
300417	Syngnathoides biaculeatus	ray_finned_fish	9136
48699	Poecilia latipinna	ray_finned_fish	9131
52670	Austrofundulus limnaeus	ray_finned_fish	9130
279965	Antrostomus carolinensis	bird	9116
54343	Etheostoma spectabile	ray_finned_fish	9090
161581	Stigmatopora argus	ray_finned_fish	9086
161592	Syngnathus typhle	ray_finned_fish	9052
161448	Corythoichthys intestinalis	ray_finned_fish	9045
52239	Pseudochaenichthys georgianus	ray_finned_fish	9034
48701	Poecilia mexicana	ray_finned_fish	9031
159077	Nerophis ophidion	ray_finned_fish	8961
80720	Gadus macrocephalus	ray_finned_fish	8951
8218	Gymnodraco acuticeps	ray_finned_fish	8948
188132	Poeciliopsis prolifica	ray_finned_fish	8874
161582	Stigmatopora nigra	ray_finned_fish	8809
1042646	Gadus chalcogrammus	ray_finned_fish	8692
57982	Cetorhinus maximus	cartilaginous_fish	8642
263684	Carcharhinus amblyrhynchos	cartilaginous_fish	8618
412623	Brachionichthys hirsutus	ray_finned_fish	8600
191813	Somniosus microcephalus	cartilaginous_fish	8537
13397	Carcharodon carcharias	cartilaginous_fish	8536
81636	Micromesistius poutassou	ray_finned_fish	8507
112232	Mustelus asterias	cartilaginous_fish	8496
1983395	Mobula birostris	cartilaginous_fish	8446
7792	Heterodontus francisci	cartilaginous_fish	8433
723540	Mobula hypostoma	cartilaginous_fish	8433
161455	Entelurus aequoreus	ray_finned_fish	8430
170820	Hemiscyllium ocellatum	cartilaginous_fish	8421
137246	Chiloscyllium punctatum	cartilaginous_fish	8405
212740	Heptranchias perlo	cartilaginous_fish	8378
3053191	Stegostoma tigrinum	cartilaginous_fish	8364
79690	Hypanus sabinus	cartilaginous_fish	8361
2704970	Hemitrygon akajei	cartilaginous_fish	8343
55135	Pristiophorus japonicus	cartilaginous_fish	8310
7830	Scyliorhinus canicula	cartilaginous_fish	8292
223862	Raja brachyura	cartilaginous_fish	8265
685728	Pristis pectinata	cartilaginous_fish	8226
75743	Scyliorhinus torazame	cartilaginous_fish	8220
1343680	Narcine bancroftii	cartilaginous_fish	8207
36176	Chiloscyllium plagiosum	cartilaginous_fish	8151
667116	Rhinoraja longicauda	cartilaginous_fish	8103
7782	Leucoraja erinaceus	cartilaginous_fish	8075
7868	Callorhinchus milii	cartilaginous_fish	7778
259920	Rhincodon typus	cartilaginous_fish	7458
8208	Notothenia coriiceps	ray_finned_fish	6944
101364	Carassius gibelio	ray_finned_fish	6884
217509	Carassius carassius	ray_finned_fish	6687
154827	Xyrauchen texanus	ray_finned_fish	6670
7757	Petromyzon marinus	jawless_fish	5939
7748	Lampetra fluviatilis	jawless_fish	5904
8036	Salvelinus alpinus	ray_finned_fish	5893
8018	Oncorhynchus keta	ray_finned_fish	5889
74940	Oncorhynchus tshawytscha	ray_finned_fish	5871
7957	Carassius auratus	ray_finned_fish	5828
8023	Oncorhynchus nerka	ray_finned_fish	5811
8017	Oncorhynchus gorbuscha	ray_finned_fish	5662
8019	Oncorhynchus kisutch	ray_finned_fish	5623
7764	Eptatretus burgeri	jawless_fish	5581
59291	Coregonus lavaretus	ray_finned_fish	5577
40830	Barbus barbus	ray_finned_fish	5524
90313	Oncorhynchus masou masou	ray_finned_fish	5477
75366	Sinocyclocheilus grahami	ray_finned_fish	5460
8038	Salvelinus fontinalis	ray_finned_fish	5452
8030	Salmo salar	ray_finned_fish	5442
490388	Oncorhynchus clarkii lewisi	ray_finned_fish	5439
70543	Myxocyprinus asiaticus	ray_finned_fish	5427
7769	Myxine glutinosa	jawless_fish	5406
8022	Oncorhynchus mykiss	ray_finned_fish	5378
7962	Cyprinus carpio	ray_finned_fish	5335
8040	Salvelinus namaycush	ray_finned_fish	5326
7750	Lampetra planeri	jawless_fish	5287
8032	Salmo trutta	ray_finned_fish	5263
2691554	Salvelinus sp. IW2-2015	ray_finned_fish	5252
7913	Polyodon spathula	ray_finned_fish	5139
59861	Coregonus clupeaformis	ray_finned_fish	5059
7753	Lethenteron reissneri	jawless_fish	4943
307959	Sinocyclocheilus rhinocerous	ray_finned_fish	4661
1608454	Sinocyclocheilus anshuiensis	ray_finned_fish	4401
7906	Acipenser ruthenus	ray_finned_fish	2828
8355	Xenopus laevis	amphibian	62
2652724	Exaiptasia diaphana	cnidarian	1
7668	Strongylocentrotus purpuratus	echinoderm	1
