tax_id	scientific_name	clade	human_genes_with_ortholog
61221	Varanus komodoensis	reptile	14034
8364	Xenopus tropicalis	amphibian	13954
52775	Ciconia boyciana	bird	13905
38937	Anolis sagrei	reptile	13886
8520	Sceloporus undulatus	reptile	13849
88082	Crotalus tigris	reptile	13843
30397	Buteo buteo	bird	13824
260995	Geotrypetes seraphini	amphibian	13821
8969	Haliaeetus albicilla	bird	13811
2025560	Natrix helvetica	reptile	13811
8296	Ambystoma mexicanum	amphibian	13800
31138	Trachemys scripta elegans	reptile	13799
38654	Alligator sinensis	reptile	13796
103942	Vipera ursinii	reptile	13793
194408	Rhinatrema bivittatum	amphibian	13770
9117	Grus americana	bird	13758
933632	Sphaerodactylus townsendi	reptile	13755
372321	Patagioenas fasciata	bird	13694
8957	Astur gentilis	bird	13693
94885	Pantherophis guttatus	reptile	13691
8319	Pleurodeles waltl	amphibian	13673
219593	Aythya ferina	bird	13672
499056	Ahaetulla prasina	reptile	13668
121349	Erythrolamprus reginae	reptile	13668
9209	Phalacrocorax carbo	bird	13662
256425	Lissotriton helveticus	amphibian	13658
126797	Athene noctua	bird	13657
40816	Grus grus	bird	13656
8845	Anser cygnoides	bird	13654
2696672	Apteryx mantelli	bird	13653
8795	Rhea pennata	bird	13638
156563	Cyanistes caeruleus	bird	13626
119627	Larus michahellis	bird	13595
33587	Mycteria americana	bird	13594
187106	Caloenas nicobarica	bird	13591
191477	Pelobates fuscus	amphibian	13568
1323832	Calonectris borealis	bird	13557
71010	Tiliqua scincoides	reptile	13540
233779	Spea bombifrons	amphibian	13531
59729	Taeniopygia guttata	bird	13526
1415580	Microcaecilia unicolor	amphibian	13513
36305	Strix uralensis	bird	13508
202280	Harpia harpyja	bird	13506
55661	Cuculus canorus	bird	13504
100784	Balearica regulorum gibbericeps	bird	13499
31155	Vipera berus	reptile	13482
1192867	Chroicocephalus ridibundus	bird	13476
40157	Lonchura striata	bird	13468
110926	Cygnus columbianus	bird	13462
132585	Anser brachyrhynchus	bird	13460
8801	Struthio camelus	bird	13453
150705	Dendropsophus ebraccatus	amphibian	13445
223781	Aquila chrysaetos chrysaetos	bird	13443
490064	Ranitomeya variabilis	amphibian	13432
3061075	Mixophyes fleayi	amphibian	13427
1497555	Lichenostomus cassidix	bird	13426
8673	Pseudonaja textilis	reptile	13425
30423	Coloeus monedula	bird	13417
8324	Lissotriton vulgaris	amphibian	13416
107022	Bucephala clangula	bird	13413
326986	Crinia signifera	amphibian	13413
197941	Clangula hyemalis	bird	13410
39617	Aphelocoma coerulescens	bird	13409
9031	Gallus gallus	bird	13405
8839	Anas platyrhynchos	bird	13403
189534	Aythya marila	bird	13394
257867	Platalea leucorodia	bird	13391
2857398	Ammospiza caudacuta	bird	13371
84833	Molothrus aeneus	bird	13368
126867	Phalacrocorax aristotelis	bird	13366
36300	Pelecanus crispus	bird	13364
257770	Zonotrichia leucophrys gambelii	bird	13362
8323	Triturus cristatus	amphibian	13362
111125	Ranitomeya imitator	amphibian	13361
181119	Pseudopodoces humilis	bird	13360
8843	Anser anser	bird	13357
495146	Pseudophryne corroboree	amphibian	13357
35669	Larus argentatus	bird	13355
28680	Anas acuta	bird	13354
407982	Pezoporus occidentalis	bird	13352
81927	Vidua chalybeata	bird	13344
177147	Streptopelia decaocto	bird	13338
8853	Branta canadensis	bird	13336
9191	Agelaius tricolor	bird	13329
43581	Zosterops lateralis	bird	13321
232653	Psittacula echo	bird	13320
111132	Phyllobates terribilis	amphibian	13319
93934	Coturnix japonica	bird	13316
187126	Nesoenas mayeri	bird	13308
37040	Gavia stellata	bird	13304
92724	Dendrobates tinctorius	amphibian	13289
35005	Thamnophis elegans	reptile	13285
478635	Myiozetetes cayanensis	bird	13282
76066	Engystomops pustulosus	amphibian	13279
2489341	Strigops habroptila	bird	13278
100859	Vanellus vanellus	bird	13273
33595	Phaenicophaeus curvirostris	bird	13269
146911	Gekko japonicus	reptile	13264
9103	Meleagris gallopavo	bird	13264
187382	Chlamydotis macqueenii	bird	13263
30387	Netta rufina	bird	13262
45623	Pelophylax lessonae	amphibian	13262
30427	Haemorhous mexicanus	bird	13260
8384	Bufo bufo	amphibian	13256
57060	Eleutherodactylus coqui	amphibian	13253
120794	Falco rusticolus	bird	13250
39638	Agelaius phoeniceus	bird	13248
30357	Pyxicephalus adspersus	amphibian	13245
52644	Haliaeetus leucocephalus	bird	13243
75485	Rissa tridactyla	bird	13243
44394	Zonotrichia albicollis	bird	13233
148596	Falco punctatus	bird	13233
345164	Falco cherrug	bird	13232
148594	Falco naumanni	bird	13231
8439	Ascaphus truei	amphibian	13224
238106	Anomaloglossus baeobatrachus	amphibian	13215
111821	Strix aluco	bird	13215
127875	Cinclus cinclus	bird	13213
327740	Hyla sarda	amphibian	13213
31919	Numenius arquata	bird	13207
190680	Chamaea fasciata	bird	13207
8932	Columba livia	bird	13203
8869	Cygnus olor	bird	13196
35540	Pezoporus wallicus	bird	13193
87175	Camarhynchus parvulus	bird	13192
48427	Nyctibius grandis	bird	13188
8790	Dromaius novaehollandiae	bird	13186
8954	Falco peregrinus	bird	13186
8868	Cygnus atratus	bird	13182
309878	Neopsephotus bourkii	bird	13163
889875	Pezoporus flaviventris	bird	13157
8345	Bombina bombina	amphibian	13157
134902	Corvus hawaiiensis	bird	13151
13146	Melopsittacus undulatus	bird	13150
187417	Anomalospiza imberbis	bird	13148
37598	Fringilla coelebs	bird	13147
8404	Lithobates pipiens	amphibian	13136
188344	Leptosomus discolor	bird	13132
1196302	Corvus moneduloides	bird	13129
8663	Notechis scutatus	reptile	13128
91951	Catharus ustulatus	bird	13118
9054	Phasianus colchicus	bird	13114
308060	Apteryx rowi	bird	13111
111811	Caprimulgus europaeus	bird	13109
43563	Rhinoderma darwinii	amphibian	13106
8797	Rhea americana	bird	13105
8400	Aquarana catesbeiana	amphibian	13099
415023	Manacus candei	bird	13098
8407	Rana temporaria	amphibian	13095
187451	Vidua macroura	bird	13094
238119	Leptodactylus fuscus	amphibian	13083
56313	Tyto alba	bird	13069
9123	Gallinula chloropus	bird	13061
219594	Aythya fuligula	bird	13045
678569	Lathamus discolor	bird	13043
9160	Passer montanus	bird	13040
345155	Falco biarmicus	bird	13039
2939378	Oenanthe melanoleuca	bird	13036
30419	Opisthocomus hoazin	bird	13026
48849	Passer domesticus	bird	13019
752182	Hyperolius riggenbachi	amphibian	13016
8996	Numida meleagris	bird	13015
84834	Molothrus ater	bird	13007
356909	Onychostruthus taczanowskii	bird	13007
9234	Aptenodytes patagonicus	bird	12966
40204	Melozone crissalis	bird	12956
1914991	Melospiza melodia melodia	bird	12955
9172	Sturnus vulgaris	bird	12953
221976	Pyrgilauda ruficollis	bird	12947
121530	Tauraco erythrolophus	bird	12941
37045	Phaethon aethereus	bird	12935
296741	Chiroxiphia lanceolata	bird	12929
64668	Lagopus muta	bird	12922
109042	Tympanuchus pallidicinctus	bird	12916
9017	Cyrtonyx montezumae	bird	12908
176946	Python bivittatus	reptile	12898
415032	Pseudopipra pipra	bird	12840
30464	Nothoprocta perdicaria	bird	12838
8884	Oxyura jamaicensis	bird	12832
9135	Serinus canaria	bird	12831
2857394	Ammospiza nelsoni	bird	12827
94852	Pituophis catenifer annectens	reptile	12827
37610	Erithacus rubecula	bird	12825
118200	Dryobates pubescens	bird	12823
2587831	Terrapene triunguis	reptile	12820
321398	Lepidothrix coronata	bird	12805
103944	Protobothrops mucrosquamatus	reptile	12802
100830	Tetrao urogallus	bird	12788
472823	Heliangelus exortis	bird	12777
488313	Pogoniulus pusillus	bird	12749
43150	Hirundo rustica	bird	12746
46218	Excalfactoria chinensis	bird	12745
44398	Melospiza georgiana	bird	12734
649802	Pipra filicauda	bird	12730
30410	Lagopus leucura	bird	12723
415028	Corapipo altera	bird	12718
9157	Parus major	bird	12698
198806	Calidris pugnax	bird	12698
48891	Poecile atricapillus	bird	12697
128390	Nipponia nippon	bird	12688
208062	Prinia subflava	bird	12666
114329	Neopelma chrysocephalum	bird	12663
57412	Colius striatus	bird	12624
33616	Gymnogyps californianus	bird	12616
8895	Apus apus	bird	12610
48155	Sylvia atricapilla	bird	12606
1094192	Motacilla alba alba	bird	12580
7888	Protopterus annectens	lobe_finned_fish	12547
164674	Empidonax traillii	bird	12505
8502	Crocodylus porosus	reptile	12504
9244	Calypte anna	bird	12495
30331	Bufo gargarizans	amphibian	12439
175006	Malurus melanocephalus	bird	12434
9002	Centrocercus urophasianus	bird	12425
3385563	Pithys albifrons albifrons	bird	12423
59894	Ficedula albicollis	bird	12417
1002788	Indicator indicator	bird	12409
125878	Nanorana parkeri	amphibian	12305
9233	Aptenodytes forsteri	bird	12302
932674	Corvus cornix cornix	bird	12257
50402	Charadrius vociferus	bird	12251
85066	Corvus brachyrhynchos	bird	12244
94835	Gavialis gangeticus	reptile	12185
68294	Corvus kubaryi	bird	12059
8897	Chaetura pelagica	bird	12055
211600	Melanerpes formicivorus	bird	12051
48883	Geospiza fortis	bird	11998
328815	Manacus vitellinus	bird	11884
188379	Egretta garzetta	bird	11828
9238	Pygoscelis adeliae	bird	11770
194338	Athene cunicularia	bird	11755
94827	Tinamus guttatus	bird	11297
386614	Amblyraja radiata	cartilaginous_fish	11069
35019	Thamnophis sirtalis	reptile	11035
7955	Danio rerio	ray_finned_fish	10876
8284	Squalius cephalus	ray_finned_fish	10641
58324	Phoxinus phoxinus	ray_finned_fish	10637
48668	Rutilus rutilus	ray_finned_fish	10622
180520	Siphateles boraxobius	ray_finned_fish	10616
38527	Abramis brama	ray_finned_fish	10613
58319	Scardinius erythrophthalmus	ray_finned_fish	10604
58325	Leuciscus leuciscus	ray_finned_fish	10603
27704	Gobio gobio	ray_finned_fish	10592
84645	Labeo rohita	ray_finned_fish	10559
933992	Chanodichthys erythropterus	ray_finned_fish	10506
51549	Pseudorasbora parva	ray_finned_fish	10489
75352	Megalobrama amblycephala	ray_finned_fish	10485
42514	Pygocentrus nattereri	ray_finned_fish	10457
369639	Onychostoma macrolepis	ray_finned_fish	10444
8005	Electrophorus electricus	ray_finned_fish	10427
42526	Colossoma macropomum	ray_finned_fish	10420
90735	Paramisgurnus dabryanus	ray_finned_fish	10417
29144	Chanos chanos	ray_finned_fish	10410
135647	Barbatula barbatula	ray_finned_fish	10397
7994	Astyanax mexicanus	ray_finned_fish	10382
698409	Brachyhypopomus gauderio	ray_finned_fish	10373
930266	Salminus brasiliensis	ray_finned_fish	10354
7959	Ctenopharyngodon idella	ray_finned_fish	10337
1142201	Danio aesculapii	ray_finned_fish	10335
992332	Triplophysa rosa	ray_finned_fish	10307
1606681	Puntigrus tetrazona	ray_finned_fish	10275
176057	Nestor notabilis	bird	10253
182223	Hypomesus nipponensis	ray_finned_fish	10244
933932	Silurus aristotelis	ray_finned_fish	10238
310915	Pangasianodon hypophthalmus	ray_finned_fish	10212
57068	Acanthisitta chloris	bird	10202
75329	Misgurnus anguillicaudatus	ray_finned_fish	10201
1582913	Triplophysa dalaica	ray_finned_fish	10185
7998	Ictalurus punctatus	ray_finned_fish	10175
175792	Tachysurus vachellii	ray_finned_fish	10166
337641	Hemibagrus wyckioides	ray_finned_fish	10147
13013	Clarias gariepinus	ray_finned_fish	10140
90988	Pimephales promelas	ray_finned_fish	10138
2290929	Trichomycterus rosablanca	ray_finned_fish	10103
1234273	Tachysurus fulvidraco	ray_finned_fish	10090
8010	Esox lucius	ray_finned_fish	10068
211835	Lutjanus erythropterus	ray_finned_fish	10067
34774	Alosa pseudoharengus	ray_finned_fish	10059
166262	Centroberyx gerrardi	ray_finned_fish	10041
175797	Silurus meridionalis	ray_finned_fish	10041
446415	Argentina silus	ray_finned_fish	10041
310571	Epinephelus lanceolatus	ray_finned_fish	10036
97097	Phaethon lepturus	bird	10031
54380	Cariama cristata	bird	10017
