word,n_ess,n_non,pct_ess,pct_non,enrichment,log_odds
f0f1,50,1,0.5712327202102137,0.004223151315511635,135.2621958185765,4.889673596675327
lps,32,1,0.36558894093453675,0.004223151315511635,86.56780532388895,4.441418828853637
atp,91,9,1.0396435507825887,0.03800836183960471,27.35302182108991,3.3163663369979197
30s,203,23,2.3192048440534676,0.0971324802567676,23.876718044496545,3.1944113650957044
preprotein,36,4,0.4112875585513538,0.01689260526204654,24.347195247343766,3.190709882629566
cytidylyltransferase,27,3,0.3084656689135154,0.012669453946534905,24.347195247343766,3.1878414959231822
50s,306,43,3.4959442476865075,0.1815955065670003,19.25127066069042,2.9908226579032755
ribosomal,512,75,5.849423054952588,0.31673634866337264,18.46779846909631,2.972832371352045
initiation,47,7,0.5369587569976009,0.029562059208581442,18.163780581351702,2.9013271304452077
dna-directed,41,9,0.4684108305723752,0.03800836183960471,12.323888952359193,2.5134404429787196
topoisomerase,30,7,0.3427396321261282,0.029562059208581442,11.593902498735128,2.450531647443623
nadh-quinone,80,19,0.9139723523363418,0.08023987499472106,11.390500700511703,2.4400226732326917
rida,26,7,0.2970410145093111,0.029562059208581442,10.04804883223711,2.307017224612693
sdr,123,37,1.4052324917171255,0.15625659867393046,8.993108154424275,2.208478108065548
translation,53,17,0.6055066834228264,0.0717935723636978,8.433995739275945,2.1363991484086586
translocase,69,24,0.7883011538900949,0.10135563157227924,7.777576259568148,2.0572856328069093
cyclohydrolase,40,14,0.4569861761681709,0.059124118417162884,7.729268332490085,2.047531993260657
elongation,57,21,0.6512053010396436,0.08868617762574432,7.342804915865582,1.9983936121654695
imidazole,27,10,0.3084656689135154,0.04223151315511635,7.3041585742031305,1.9890699024058405
delta,23,9,0.26276705129669825,0.03800836183960471,6.913401119616132,1.933465637855484
junction,27,11,0.3084656689135154,0.04645466447062798,6.640144158366482,1.8939322505764604
lysr,246,109,2.810464983434251,0.46032349339076817,6.105412875480701,1.8328873580932736
formyltransferase,23,10,0.26276705129669825,0.04223151315511635,6.222061007654518,1.82832531781247
marr,57,25,0.6512053010396436,0.10557878288779086,6.167956129327088,1.8240513593656988
maturation,32,15,0.36558894093453675,0.06334726973267452,5.7711870215925964,1.7546028329120853
release,21,10,0.23991774248828973,0.04223151315511635,5.681012224380212,1.737160700862236
succinate,23,12,0.26276705129669825,0.05067781578613962,5.1850508397120985,1.6463130540644348
ribosome,43,24,0.4912601393807837,0.10135563157227924,4.846895350165657,1.581466398460985
fe-s,29,17,0.3313149777219239,0.0717935723636978,4.614827857339669,1.5307848896698983
polymerase,148,94,1.6908488518222327,0.3969762236580937,4.259320208755175,1.4619922329634374
mutase,35,22,0.39986290414714953,0.09290932894125596,4.303797139681979,1.4617491205418185
ligase,284,183,3.2446018507940133,0.7728366907386292,4.198302034150352,1.4598072504067452
cluster,44,28,0.502684793784988,0.11824823683432577,4.251097582869547,1.4503871343533135
s-transferase,33,22,0.377013595338741,0.09290932894125596,4.057865874557295,1.4026943894501
replication,18,12,0.2056437792756769,0.05067781578613962,4.057865874557295,1.4007236896330966
gtpase,39,27,0.44556152176396663,0.11402508551881414,3.9075745458699873,1.3655893221099236
division,59,41,0.6740546098480521,0.17314920393597702,3.892911977217567,1.363758801226325
diphosphatase,29,21,0.3313149777219239,0.08868617762574432,3.7358130273702077,1.3195717114587513
winged,62,46,0.7083285730606649,0.1942649605135352,3.646198322065975,1.2984755553405654
anthranilate,18,14,0.2056437792756769,0.059124118417162884,3.478170749620538,1.2467698777579317
aspartate,42,33,0.47983548497657946,0.13936399341188394,3.4430377117455833,1.2392605209019152
sigma,50,40,0.5712327202102137,0.1689260526204654,3.3815548954644123,1.221956888739423
