source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources	references	curation_effort
P0DP24	P48995	CALM2	TRPC1	True	False	True	True	False	True	TRIP	TRIP:11290752;TRIP:11983166;TRIP:12601176	3
P0DP23	P48995	CALM1	TRPC1	True	False	True	True	False	True	TRIP	TRIP:11290752;TRIP:11983166;TRIP:12601176	3
P0DP25	P48995	CALM3	TRPC1	True	False	True	True	False	True	TRIP	TRIP:11290752;TRIP:11983166;TRIP:12601176	3
Q03135	P48995	CAV1	TRPC1	True	True	False	True	True	False	DIP;IntAct;HINT;Lit-BM-17;HPRD;TRIP	IntAct:19897728;TRIP:18430726;TRIP:12732636;TRIP:19351713;TRIP:14551243;DIP:19897728;TRIP:16822931;Lit-BM-17:19897728;TRIP:19052258;TRIP:19897728;HINT:12732636;Lit-BM-17:19052258;HINT:19897728;Lit-BM-17:10980191;HPRD:12732636	15
P14416	P48995	DRD2	TRPC1	True	True	False	True	True	False	TRIP	TRIP:18261457	1
Q99750	P48995	MDFI	TRPC1	True	False	True	True	False	True	TRIP;HPRD	TRIP:14530267;HPRD:14530267;TRIP:23770672	3
Q14571	P48995	ITPR2	TRPC1	True	True	False	True	True	False	TRIP;HPRD	HPRD:11336651;TRIP:15121806;TRIP:17681754;TRIP:18191041;TRIP:18249094;TRIP:18068335;TRIP:23228564;TRIP:16905188;HPRD:10970773;TRIP:10970773;TRIP:16870612;TRIP:11336651;TRIP:12196544	13
P29966	P48995	MARCKS	TRPC1	True	False	True	True	False	True	TRIP	TRIP:24022404	1
Q13255	P48995	GRM1	TRPC1	True	True	False	True	True	False	TRIP	TRIP:14614461	1
Q13586	P48995	STIM1	TRPC1	True	True	False	True	True	False	HINT;IntAct;TRIP	TRIP:17224452;TRIP:18326500;TRIP:19332490;HINT:21408196;TRIP:19897728;TRIP:20194530;HINT:19897728;TRIP:25013939;TRIP:22446186;TRIP:18802022;TRIP:16906149;TRIP:18430726;TRIP:23686296;TRIP:23395841;TRIP:23034388;TRIP:16870612;TRIP:24464579;IntAct:19897728;TRIP:18644792;IntAct:21408196;TRIP:18249094;TRIP:20488539;TRIP:17892531;TRIP:22592407	24
P48995	Q13507	TRPC1	TRPC3	True	True	False	True	True	False	TRIP;HPRD;BioGRID	TRIP:19260825;TRIP:15834157;HPRD:12032305;BioGRID:9215637;TRIP:18215135;TRIP:19502552;TRIP:24613381;TRIP:9215637;TRIP:15972814;HPRD:9215637;BioGRID:10199829;TRIP:17486119;TRIP:21996795;TRIP:10882720;TRIP:12857742	15
Q13507	P48995	TRPC3	TRPC1	True	True	False	True	True	False	TRIP;HPRD;BioGRID	TRIP:19260825;TRIP:15834157;HPRD:12032305;BioGRID:9215637;TRIP:18215135;TRIP:19502552;TRIP:24613381;TRIP:9215637;TRIP:15972814;HPRD:9215637;BioGRID:10199829;TRIP:17486119;TRIP:21996795;TRIP:10882720;TRIP:12857742	15
P48995	Q9UBN4	TRPC1	TRPC4	True	True	False	True	True	False	TRIP;Lit-BM-17;HPRD	TRIP:17416589;Lit-BM-17:12857742;TRIP:22144671;HPRD:12032305;TRIP:17892531;Lit-BM-17:12032305;TRIP:19812031;TRIP:12377790;TRIP:16418302;TRIP:16818374;TRIP:22534489;TRIP:19307462;TRIP:12857742;TRIP:11301024;TRIP:16270640	15
Q9UBN4	P48995	TRPC4	TRPC1	True	True	False	True	True	False	TRIP;Lit-BM-17;HPRD	TRIP:17416589;Lit-BM-17:12857742;TRIP:22144671;HPRD:12032305;TRIP:17892531;Lit-BM-17:12032305;TRIP:19812031;TRIP:12377790;TRIP:16418302;TRIP:16818374;TRIP:22534489;TRIP:19307462;TRIP:12857742;TRIP:11301024;TRIP:16270640	15
P48995	Q9UL62	TRPC1	TRPC5	True	True	False	True	True	False	TRIP;Lit-BM-17;HPRD	Lit-BM-17:12857742;TRIP:12857742;HPRD:12032305;Lit-BM-17:12032305;TRIP:12377790;TRIP:18356201;TRIP:21968068;TRIP:11301024;HPRD:12857742;TRIP:16270640;HPRD:11301024	11
Q9UL62	P48995	TRPC5	TRPC1	True	True	False	True	True	False	TRIP;Lit-BM-17;HPRD	Lit-BM-17:12857742;TRIP:12857742;HPRD:12032305;Lit-BM-17:12032305;TRIP:12377790;TRIP:18356201;TRIP:21968068;TRIP:11301024;HPRD:12857742;TRIP:16270640;HPRD:11301024	11
P48995	Q9Y210	TRPC1	TRPC6	True	False	True	True	False	True	TRIP	TRIP:20660561;TRIP:18191041;TRIP:12857742;TRIP:16418302	7
Q9NZU7	Q9UL62	CABP1	TRPC5	True	False	True	True	False	True	TRIP	TRIP:15895247	1
P48995	Q13563	TRPC1	PKD2	True	True	False	True	True	False	IntAct;HINT;Lit-BM-17;HPRD;TRIP	TRIP:14530267;TRIP:20682256;TRIP:19850920;HPRD:10097141;TRIP:18323855;TRIP:25114176;HINT:25114176;TRIP:10097141;HINT:10097141;Lit-BM-17:10097141;IntAct:10097141;IntAct:25114176;TRIP:19193631	13
Q13563	P48995	PKD2	TRPC1	True	True	False	True	True	False	IntAct;HINT;Lit-BM-17;HPRD;TRIP	TRIP:14530267;TRIP:20682256;TRIP:19850920;HPRD:10097141;TRIP:18323855;TRIP:25114176;HINT:25114176;TRIP:10097141;HINT:10097141;Lit-BM-17:10097141;IntAct:10097141;IntAct:25114176;TRIP:19193631	13
P48995	Q9HBA0	TRPC1	TRPV4	True	True	False	True	True	False	TRIP	TRIP:20093626;TRIP:25139746;TRIP:20705915;TRIP:21871867;TRIP:25114176	5
Q9HBA0	P48995	TRPV4	TRPC1	True	True	False	True	True	False	TRIP	TRIP:20093626;TRIP:25139746;TRIP:20705915;TRIP:21871867;TRIP:25114176	5
P48995	Q9H1D0	TRPC1	TRPV6	True	False	True	True	False	True	TRIP	TRIP:25172921;TRIP:22932896	3
P0DP24	Q13507	CALM2	TRPC3	True	False	True	True	False	True	TRIP	TRIP:11248050;TRIP:11290752;TRIP:18215135;TRIP:12601176	4
Q96H20	Q9Y210	SNF8	TRPC6	True	True	False	True	True	False	TRIP	TRIP:23171048	1
P0DP23	Q13507	CALM1	TRPC3	True	False	True	True	False	True	LRdb;iTALK;Fantom5_LRdb;HPRD_LRdb;TRIP;CellTalkDB;HPRD	CellTalkDB:11248050;TRIP:18215135;TRIP:12601176;TRIP:11248050;TRIP:11290752;HPRD:15104175	6
P0DP25	Q13507	CALM3	TRPC3	True	False	True	True	False	True	TRIP	TRIP:11248050;TRIP:11290752;TRIP:18215135;TRIP:12601176	4
P41180	Q13507	CASR	TRPC3	True	True	False	True	True	False	TRIP	TRIP:22778254	1
P19235	Q13507	EPOR	TRPC3	True	True	False	True	True	False	TRIP	TRIP:21757714;TRIP:19074769;TRIP:18276585	3
Q86YM7	Q13507	HOMER1	TRPC3	True	True	False	True	True	False	TRIP	TRIP:16887806	1
Q14643	Q13507	ITPR1	TRPC3	True	True	False	True	True	False	TRIP;HPRD	HPRD:9853757;TRIP:18205297;TRIP:20378853;HPRD:11524429;TRIP:23045459;TRIP:10518223;HPRD:12606542;HPRD:15104175;HPRD:15623527;TRIP:20022948	10
Q14573	Q13507	ITPR3	TRPC3	True	True	False	True	True	False	HINT;HPRD;TRIP	TRIP:16887806;HPRD:11524429;TRIP:10611319;HINT:11290752;TRIP:11248050;TRIP:11290752;HPRD:15623527;HINT:10611319	8
Q12797	Q13507	ASPH	TRPC3	True	True	False	True	True	False	TRIP	TRIP:15302852	1
Q96D31	Q13507	ORAI1	TRPC3	True	True	False	True	True	False	DIP;HPRD;TRIP	DIP:17360584;TRIP:17360584;HPRD:17360584;TRIP:18287061;TRIP:20022948	5
Q13976	Q13507	PRKG1	TRPC3	True	False	True	True	False	True	HPRD_KEA;iPTMnet;PhosphoPoint;PhosphoSite_ProtMapper;ProtMapper;HPRD_MIMP;TRIP;PhosphoSite_MIMP;PhosphoSite_KEA;KEA;MIMP;SIGNOR_ProtMapper;HPRD;SIGNOR;PhosphoSite_noref	TRIP:14983059;SIGNOR:14983059;ProtMapper:14983059;SIGNOR:16331690;HPRD:14983059;KEA:14983059;ProtMapper:16331690	7
Q9Y225	Q13507	RNF24	TRPC3	True	False	True	True	False	True	TRIP	TRIP:17850865	1
P12931	Q13507	SRC	TRPC3	True	True	False	True	True	False	TRIP	TRIP:16407161	1
Q8TD43	Q13507	TRPM4	TRPC3	True	False	True	True	False	True	TRIP	TRIP:18262493	2
Q13563	Q13507	PKD2	TRPC3	True	True	False	True	True	False	TRIP	TRIP:19812035	1
Q96J92	Q13507	WNK4	TRPC3	True	False	True	True	False	True	TRIP	TRIP:21670282	1
P06241	Q9UBN4	FYN	TRPC4	True	False	False	False	False	False	TRIP;dbPTM	dbPTM:16144838;TRIP:16144838;TRIP:18048348	3
O14745	Q9UBN4	NHERF1	TRPC4	True	True	False	True	True	False	TRIP;HPRD	TRIP:18048348;HPRD:10980202;TRIP:10980202;TRIP:15540229;TRIP:12154080	5
Q9Y225	Q9UBN4	RNF24	TRPC4	True	False	True	True	False	True	TRIP	TRIP:17850865	1
P62166	Q9UL62	NCS1	TRPC5	True	True	False	True	True	False	TRIP	TRIP:16469785	1
Q86VW0	Q9UL62	SESTD1	TRPC5	True	True	False	True	True	False	TRIP	TRIP:20164195	1
Q9UL62	Q9Y210	TRPC5	TRPC6	True	False	True	True	False	True	TRIP	TRIP:20660561;TRIP:18356201;TRIP:12857742	5
P0DP24	Q9Y210	CALM2	TRPC6	True	True	False	True	True	False	TRIP	TRIP:12379180;TRIP:19932145;TRIP:15994335	3
P0DP23	Q9Y210	CALM1	TRPC6	True	True	False	True	True	False	TRIP	TRIP:12379180;TRIP:19932145;TRIP:15994335	3
P0DP25	Q9Y210	CALM3	TRPC6	True	True	False	True	True	False	TRIP	TRIP:12379180;TRIP:19932145;TRIP:15994335	3
P08631	Q9HBA0	HCK	TRPV4	True	True	False	True	True	False	TRIP;PhosphoPoint;HPRD	HPRD:12538589;TRIP:12538589	2
P06241	Q9Y210	FYN	TRPC6	True	True	False	True	True	False	PhosphoPoint;SPIKE_LC;TRIP;HPRD;SIGNOR	HPRD:14761972;SPIKE_LC:16713569;TRIP:14761972;SIGNOR:21471003	4
P20591	Q9Y210	MX1	TRPC6	True	True	False	True	True	False	SPIKE_LC;Wang;TRIP;Lit-BM-17;HPRD	Lit-BM-17:15757897;SPIKE_LC:15757897;SPIKE_LC:17145710;HPRD:15757897;TRIP:15757897	5
P17612	Q9Y210	PRKACA	TRPC6	True	False	False	False	False	False	ProtMapper;PhosphoSite;TRIP;PhosphoSite_ProtMapper	PhosphoSite:19961855;TRIP:22001259;PhosphoSite:23645677;TRIP:23645677	4
Q13976	Q9Y210	PRKG1	TRPC6	True	False	True	True	False	True	iPTMnet;phosphoELM_MIMP;Sparser_ProtMapper;PhosphoSite_ProtMapper;ProtMapper;PhosphoSite_MIMP;REACH_ProtMapper;MIMP;TRIP;SIGNOR;PhosphoSite_noref	TRIP:24740790;TRIP:18617565;SIGNOR:19961855;ProtMapper:21402151	4
Q9Y225	Q9Y210	RNF24	TRPC6	True	False	True	True	False	True	TRIP;Lit-BM-17	TRIP:17850865;Lit-BM-17:17850865	2
P12931	Q9Y210	SRC	TRPC6	True	True	False	True	True	False	PhosphoPoint;ProtMapper;REACH_ProtMapper;TRIP;HPRD;SIGNOR	HPRD:14761972;ProtMapper:21471003;TRIP:14761972;SIGNOR:21471003	4
Q13976	Q9HCX4	PRKG1	TRPC7	True	True	False	True	True	False	iPTMnet;ProtMapper;SIGNOR_ProtMapper;SIGNOR;TRIP	SIGNOR:21402151;TRIP:21402151;ProtMapper:21402151	3
Q13563	Q9HCX4	PKD2	TRPC7	True	True	False	True	True	False	TRIP	TRIP:19812035	1
P0DP24	Q8NER1	CALM2	TRPV1	True	True	False	True	True	False	TRIP	TRIP:12808128;TRIP:23109716;TRIP:19864432;TRIP:14699077	4
P0DP23	Q8NER1	CALM1	TRPV1	True	True	False	True	True	False	TRIP;HPRD	TRIP:12808128;HPRD:12808128;TRIP:14699077;TRIP:19864432;TRIP:23109716	5
P0DP25	Q8NER1	CALM3	TRPV1	True	True	False	True	True	False	TRIP	TRIP:12808128;TRIP:23109716;TRIP:19864432;TRIP:14699077	4
P21554	Q8NER1	CNR1	TRPV1	True	False	True	True	False	True	TRIP	TRIP:23142606	1
Q14573	Q9HBA0	ITPR3	TRPV4	True	True	False	True	True	False	TRIP	TRIP:18826956;TRIP:18378772	2
P21980	Q9NQA5	TGM2	TRPV5	True	False	True	True	False	True	TRIP	TRIP:21952826	1
Q00535	Q8NER1	CDK5	TRPV1	True	True	False	True	True	False	Sparser_ProtMapper;ProtMapper;RLIMS-P_ProtMapper;REACH_ProtMapper;TRIP;SIGNOR	ProtMapper:24359609;ProtMapper:26376215;ProtMapper:29467671;TRIP:22451679;ProtMapper:29352128;ProtMapper:26894912;TRIP:17194758;ProtMapper:23668392;ProtMapper:28809765;SIGNOR:26894912;TRIP:23077056	11
Q9UNN5	Q8NER1	FAF1	TRPV1	True	False	True	True	False	True	TRIP	TRIP:16510717	1
O95166	Q8NER1	GABARAP	TRPV1	True	True	False	True	True	False	TRIP	TRIP:20179142	1
Q9NQT8	Q8NER1	KIF13B	TRPV1	True	True	False	True	True	False	TRIP	TRIP:23077056	1
P0C851	Q8NER1	PIRT	TRPV1	True	True	False	True	True	False	TRIP	TRIP:18455988	1
P17612	Q8NER1	PRKACA	TRPV1	True	True	False	True	True	False	iPTMnet;PhosphoSite_ProtMapper;ProtMapper;HPRD_MIMP;PhosphoSite_MIMP;MIMP;TRIP	TRIP:12194871	1
Q13563	Q9HBA0	PKD2	TRPV4	True	True	False	True	True	False	TRIP	TRIP:20682256;TRIP:22518003;TRIP:25114176;TRIP:18695040;TRIP:23977387	5
P12931	Q8NER1	SRC	TRPV1	True	True	False	True	True	False	iPTMnet;Sparser_ProtMapper;PhosphoSite_ProtMapper;ProtMapper;PhosphoSite;Wang;PhosphoSite_MIMP;REACH_ProtMapper;NCI-PID_ProtMapper;MIMP;TRIP	ProtMapper:20043876;TRIP:16319926;ProtMapper:24494677;ProtMapper:30292787;ProtMapper:17582331;ProtMapper:25970319;TRIP:15084474;PhosphoSite:16319926;ProtMapper:16319926;ProtMapper:24717323	10
P04629	Q8NER1	NTRK1	TRPV1	True	True	False	True	True	False	TRIP	TRIP:16319926	1
P00533	Q8NET8	EGFR	TRPV3	True	True	False	True	True	False	TRIP	TRIP:20403327	1
P0DP24	Q9HBA0	CALM2	TRPV4	True	True	False	True	True	False	TRIP	TRIP:12724311;TRIP:21837266	2
P0DP23	Q9HBA0	CALM1	TRPV4	True	True	False	True	True	False	TRIP;HPRD	TRIP:12724311;HPRD:12724311;TRIP:21837266	3
P0DP25	Q9HBA0	CALM3	TRPV4	True	True	False	True	True	False	TRIP	TRIP:12724311;TRIP:21837266	2
P06241	Q9HBA0	FYN	TRPV4	True	True	False	True	True	False	SPIKE_LC;TRIP;PhosphoPoint;HPRD	HPRD:12538589;SPIKE_LC:16713569;TRIP:12538589	3
Q9HBA0	Q13563	TRPV4	PKD2	True	True	False	False	False	False	TRIP	TRIP:20682256;TRIP:18695040;TRIP:23977387;TRIP:25114176	4
P06239	Q9HBA0	LCK	TRPV4	True	True	False	True	True	False	TRIP;PhosphoPoint;HPRD	HPRD:12538589;TRIP:12538589	2
P07948	Q9HBA0	LYN	TRPV4	True	True	False	True	True	False	HPRD_KEA;iPTMnet;phosphoELM_MIMP;PhosphoPoint;ProtMapper;HPRD_MIMP;HPRD-phos;phosphoELM;PhosphoSite_KEA;KEA;MIMP;phosphoELM_KEA;hprd_ProtMapper;TRIP;HPRD	HPRD-phos:12538589;ProtMapper:12538589;TRIP:18234883;KEA:12538589;HPRD:12538589;TRIP:12538589;phosphoELM:12538589	7
Q14244	Q9HBA0	MAP7	TRPV4	True	True	False	True	True	False	TRIP;Lit-BM-17;HPRD	Lit-BM-17:14517216;TRIP:14517216;HPRD:14517216	3
Q13438	Q9HBA0	OS9	TRPV4	True	True	True	True	True	True	TRIP;HPRD;SIGNOR	TRIP:17932042;HPRD:17932042;SIGNOR:17932042	3
Q9UKS6	Q9HBA0	PACSIN3	TRPV4	True	True	False	True	True	False	TRIP;HPRD	TRIP:16627472;HPRD:16627472;TRIP:18174177	3
P12931	Q9HBA0	SRC	TRPV4	True	True	False	True	True	False	Li2012;PhosphoPoint;Sparser_ProtMapper;ProtMapper;NetworKIN_KEA;REACH_ProtMapper;KEA;TRIP;HPRD	KEA:17570479;ProtMapper:28295351;ProtMapper:15268627;ProtMapper:12538589;HPRD:12538589;TRIP:12538589;TRIP:19033444	7
P60903	Q9NQA5	S100A10	TRPV5	True	True	False	True	True	False	TRIP;Lit-BM-17	TRIP:12660155;Lit-BM-17:12660155	2
P07947	Q9HBA0	YES1	TRPV4	True	True	False	True	True	False	TRIP;PhosphoPoint;HPRD	HPRD:12538589;TRIP:12538589	2
Q5W0U4	Q9NQA5	BSPRY	TRPV5	True	False	True	True	False	True	TRIP	TRIP:16380433	1
P05937	Q9NQA5	CALB1	TRPV5	True	True	False	True	True	False	SPIKE_LC;TRIP;HPRD	HPRD:16763551;SPIKE_LC:16763551;TRIP:16763551	3
P0DP24	Q9NQA5	CALM2	TRPV5	True	False	True	True	False	True	TRIP	TRIP:20926660;TRIP:21576356;TRIP:20686800	3
P0DP23	Q9NQA5	CALM1	TRPV5	True	False	True	True	False	True	HINT;TRIP	TRIP:20926660;HINT:29584409;TRIP:21576356;TRIP:20686800	4
P0DP25	Q9NQA5	CALM3	TRPV5	True	False	True	True	False	True	TRIP	TRIP:20926660;TRIP:21576356;TRIP:20686800	3
Q9UEF7	Q9NQA5	KL	TRPV5	True	True	False	True	True	False	TRIP	TRIP:18495742;TRIP:18606998;TRIP:16239475	3
P62491	Q9NQA5	RAB11A	TRPV5	True	True	False	True	True	False	TRIP	TRIP:16354700	1
Q8TDD5	Q9NQA5	MCOLN3	TRPV5	True	True	False	True	True	False	TRIP	TRIP:23469151	1
Q9NQA5	Q8TDD5	TRPV5	MCOLN3	True	True	False	True	True	False	TRIP	TRIP:23469151	1
Q9H1D0	Q9NQA5	TRPV6	TRPV5	True	True	False	True	True	False	TRIP	TRIP:12574114;TRIP:19295174	2
Q9NQA5	Q9H1D0	TRPV5	TRPV6	True	True	False	True	True	False	TRIP	TRIP:12574114;TRIP:19295174	2
P0DP24	Q9H1D0	CALM2	TRPV6	True	False	True	True	False	True	TRIP	TRIP:11248124;TRIP:12765696;TRIP:16959851;TRIP:20926660;TRIP:15123711	5
P0DP23	Q9H1D0	CALM1	TRPV6	True	False	True	True	False	True	HINT;HPRD;TRIP	TRIP:11248124;TRIP:12765696;TRIP:16959851;HPRD:11248124;TRIP:20926660;TRIP:15123711;HINT:30116787	7
P0DP25	Q9H1D0	CALM3	TRPV6	True	False	True	True	False	True	TRIP	TRIP:11248124;TRIP:12765696;TRIP:16959851;TRIP:20926660;TRIP:15123711	5
Q9UEF7	Q9H1D0	KL	TRPV6	True	True	False	True	True	False	TRIP	TRIP:18495742;TRIP:16239475	2
Q86UT5	Q9H1D0	NHERF4	TRPV6	True	True	False	True	True	False	TRIP	TRIP:17645868	1
Q9BPW8	Q9H1D0	NIPSNAP1	TRPV6	True	False	True	True	False	True	TRIP	TRIP:18392847	1
P49757	Q9H1D0	NUMB	TRPV6	True	False	True	True	False	True	TRIP	TRIP:24704446;TRIP:23140583	2
P18031	Q9H1D0	PTPN1	TRPV6	True	False	True	True	False	True	IntAct;SPIKE_LC;DEPOD;HINT;Lit-BM-17;HPRD;SIGNOR;TRIP	Lit-BM-17:15894168;SIGNOR:17197020;SPIKE_LC:15894168;HPRD:15894168;HINT:15894168;HINT:17197020;TRIP:17197020;DEPOD:15894168;IntAct:17197020;IntAct:15894168;DEPOD:17197020;Lit-BM-17:17197020;TRIP:15894168	13
P62491	Q9H1D0	RAB11A	TRPV6	True	True	False	True	True	False	TRIP	TRIP:16354700	1
P41220	Q9H1D0	RGS2	TRPV6	True	False	True	True	False	True	TRIP	TRIP:16895908	1
P60903	Q9H1D0	S100A10	TRPV6	True	True	False	True	True	False	SPIKE_LC;TRIP;CellTalkDB;HPRD	SPIKE_LC:16189514;TRIP:16189514;TRIP:12660155;CellTalkDB:18187190;HPRD:12660155;TRIP:18187190	6
Q9GZU5	Q7Z4N2	NYX	TRPM1	True	True	False	True	True	False	TRIP	TRIP:21734298	1
P0DP24	O94759	CALM2	TRPM2	True	True	False	True	True	False	TRIP	TRIP:16461353	1
P0DP23	O94759	CALM1	TRPM2	True	True	False	True	True	False	TRIP	TRIP:16461353	1
P0DP25	O94759	CALM3	TRPM2	True	True	False	True	True	False	TRIP	TRIP:16461353	1
P18031	P63151	PTPN1	PPP2R2A	True	True	False	True	True	False	SignaLink3	SignaLink3:23590304	1
Q5JVL4	O94759	EFHC1	TRPM2	True	True	False	True	True	False	TRIP	TRIP:22226147	1
Q12923	O94759	PTPN13	TRPM2	True	False	True	True	False	True	TRIP	TRIP:17251321	1
P0DP24	Q8TD43	CALM2	TRPM4	True	True	False	True	True	False	TRIP	TRIP:15590641	1
P0DP23	Q8TD43	CALM1	TRPM4	True	True	False	True	True	False	TRIP	TRIP:15590641	1
P0DP25	Q8TD43	CALM3	TRPM4	True	True	False	True	True	False	TRIP	TRIP:15590641	1
P63244	Q9BX84	RACK1	TRPM6	True	False	True	True	False	True	TRIP;SIGNOR	TRIP:18258429;SIGNOR:18258429	2
Q99623	Q9BX84	PHB2	TRPM6	True	False	True	True	False	True	TRIP	TRIP:19329436	1
Q96QT4	Q9BX84	TRPM7	TRPM6	True	True	False	False	False	False	TRIP;PhosphoPoint;HPRD	HPRD:14976260;TRIP:14976260;TRIP:24385424	3
Q9BX84	Q96QT4	TRPM6	TRPM7	True	True	True	True	True	False	ProtMapper;RLIMS-P_ProtMapper;Wang;TRIP;HPRD;SIGNOR	TRIP:24385424;HPRD:14976260;SIGNOR:24858416;ProtMapper:26563869	4
Q96QT4	P35579	TRPM7	MYH9	True	False	False	False	False	False	iPTMnet;phosphoELM_MIMP;PhosphoSite_ProtMapper;ProtMapper;SPIKE_LC;Kinexus_KEA;TRIP;PhosphoSite_MIMP;phosphoELM;KEA;MIMP;phosphoELM_KEA;Adhesome;PhosphoSite_noref	Adhesome:18675813;KEA:18394644;SPIKE_LC:18675813;phosphoELM:18675813;TRIP:16407977;KEA:18675813;Adhesome:16407977;phosphoELM:18394644;Adhesome:18394644	9
P63244	Q96QT4	RACK1	TRPM7	True	False	True	True	False	True	TRIP	TRIP:18258429	1
P28222	Q7Z2W7	HTR1B	TRPM8	True	True	False	True	True	False	TRIP	TRIP:24269608	1
P35372	Q7Z2W7	OPRM1	TRPM8	True	False	True	True	False	True	TRIP	TRIP:23911290	1
P17612	Q9GZU1	PRKACA	MCOLN1	True	False	True	True	False	True	iPTMnet;PhosphoSite_ProtMapper;ProtMapper;PhosphoSite;TRIP;PhosphoSite_MIMP;MIMP;SIGNOR_ProtMapper;SIGNOR;PhosphoSite_noref	PhosphoSite:17988215;ProtMapper:17988215;TRIP:17988215;SIGNOR:17988215	4
Q8IZK6	Q9GZU1	MCOLN2	MCOLN1	True	True	False	True	True	False	HINT;TRIP	TRIP:19885840;TRIP:20736310;HINT:33961781;TRIP:19557826;TRIP:16606612;HINT:35271311	6
Q9GZU1	Q8IZK6	MCOLN1	MCOLN2	True	True	False	True	True	False	HINT;TRIP	TRIP:19885840;TRIP:20736310;HINT:33961781;TRIP:19557826;TRIP:16606612;HINT:35271311	6
Q8TDD5	Q9GZU1	MCOLN3	MCOLN1	True	True	False	False	False	False	TRIP	TRIP:19522758;TRIP:23469151;TRIP:19885840;TRIP:20736310;TRIP:19557826	5
Q9GZU1	Q8TDD5	MCOLN1	MCOLN3	True	True	False	True	True	False	TRIP	TRIP:19522758;TRIP:19885840;TRIP:23469151;TRIP:20736310;TRIP:19557826;TRIP:16606612	6
Q8IZK6	Q8TDD5	MCOLN2	MCOLN3	True	True	False	True	True	False	TRIP	TRIP:20736310;TRIP:23469151;TRIP:19557826;TRIP:16606612	7
P14314	Q13563	PRKCSH	PKD2	True	False	True	True	False	True	TRIP	TRIP:19801576	1
Q9Y496	Q13563	KIF3A	PKD2	True	True	False	True	True	False	TRIP	TRIP:16950792;TRIP:17008358;TRIP:17283055	3
Q13190	Q13563	STX5	PKD2	True	False	True	True	False	True	TRIP	TRIP:18836075	1
P63244	Q9NZM6	RACK1	PKD2L2	True	False	True	True	False	True	TRIP	TRIP:22174419	1
P42574	O75822	CASP3	EIF3J	True	False	True	True	False	True	SPIKE_LC;SPIKE;HPRD	SPIKE_LC:10672017;SPIKE:10672017;HPRD:10672017	3
P42574	P16144	CASP3	ITGB4	True	True	True	True	False	True	SPIKE_LC;SPIKE;Wang	SPIKE:17178732;SPIKE_LC:17178732	2
O76064	P19793	RNF8	RXRA	True	True	False	True	True	False	SPIKE_LC;SPIKE;Lit-BM-17;HPRD	SPIKE_LC:16189514;Lit-BM-17:14981089;SPIKE_LC:14981089;HPRD:14981089;SPIKE:14981089;SPIKE:16189514	8
COMPLEX:P67775_Q15172_Q15257	P28749	PPP2CA_PPP2R5A_PTPA	RBL1	True	False	True	True	False	True	SPIKE_LC;SPIKE	SPIKE:20663872;SPIKE_LC:20663872	2
P49137	Q16539	MAPKAPK2	MAPK14	True	True	False	False	False	False	SPIKE;IntAct;PhosphoPoint;SPIKE_LC;Wang;BioGRID;InnateDB;HINT;Lit-BM-17;HPRD;ELM	IntAct:17255097;Lit-BM-17:10922375;InnateDB:17255097;BioGRID:17395714;InnateDB:10581204;HINT:17395714;Lit-BM-17:26496610;Lit-BM-17:23455922;Lit-BM-17:25241761;HINT:10581204;Lit-BM-17:21675959;SPIKE_LC:17395714;HINT:17255097;HINT:26496610;Lit-BM-17:10581204;Lit-BM-17:21988832;Lit-BM-17:11042204;ELM:25255283;SPIKE:17395714;ELM:23047924;HINT:32649858;Lit-BM-17:26186194;HPRD:7592979;Lit-BM-17:17395714;HPRD:9768359;HINT:34686655;Lit-BM-17:23602568;IntAct:21988832;HINT:10922375;HINT:35271311;HPRD:8846784;IntAct:25241761;HINT:32707033;Lit-BM-17:17255097;HINT:21675959;HINT:33961781;Lit-BM-17:25852190;HINT:25852190;HINT:11042204	39
