word,n_ess_genes,n_non_genes,pct_ess,pct_non,enrichment,log_odds
synthetase,45,0,6.696428571428571,0.0,66965.28571428571,3.8200999116514067
ligase,23,0,3.422619047619048,0.0,34227.19047619048,3.1249288417399
translation,13,0,1.9345238095238095,0.0,19346.2380952381,2.5553389699874556
f0f1,8,0,1.1904761904761905,0.0,11905.761904761905,2.0851625420434114
glutamyl-trna,8,0,1.1904761904761905,0.0,11905.761904761905,2.0851625420434114
initiation,7,0,1.0416666666666665,0.0,10417.666666666666,1.9584956394075395
topoisomerase,6,0,0.8928571428571428,0.0,8929.571428571428,1.813893293983269
amidotransferase,6,0,0.8928571428571428,0.0,8929.571428571428,1.813893293983269
ion,6,0,0.8928571428571428,0.0,8929.571428571428,1.813893293983269
metal,6,0,0.8928571428571428,0.0,8929.571428571428,1.813893293983269
beta,18,1,2.6785714285714284,0.3184713375796179,8.408388051865998,1.7762333986991354
polymerase,29,2,4.315476190476191,0.6369426751592357,6.774391039654393,1.7457819736118942
alpha,17,1,2.5297619047619047,0.3184713375796179,7.941272821286496,1.719136829690525
atp,16,1,2.380952380952381,0.3184713375796179,7.4741575907069935,1.6587719391284952
aspartyl-trna,5,0,0.744047619047619,0.0,7441.476190476191,1.6453399586644615
ribosomal,95,11,14.136904761904761,3.5031847133757963,4.0353570772962435,1.4734523802210842
30s,19,2,2.8273809523809526,0.6369426751592357,4.438448258861454,1.316385669807726
dna-directed,11,1,1.636904761904762,0.3184713375796179,5.1385814378094805,1.2901713037790046
iii,15,2,2.232142857142857,0.6369426751592357,3.504071146544278,1.080708997175583
membrane,14,2,2.083333333333333,0.6369426751592357,3.270476868464984,1.0124978655454946
transcription,8,1,1.1904761904761905,0.3184713375796179,3.737235746070971,0.9833655373077814
phosphoribosyltransferase,7,1,1.0416666666666665,0.3184713375796179,3.270120515491468,0.8566986346719094
factor,24,5,3.571428571428571,1.5923566878980893,2.242779096329893,0.7542211136804085
unknown,6,1,0.8928571428571428,0.3184713375796179,2.8030052849119658,0.712096289247639
expressed,6,1,0.8928571428571428,0.3184713375796179,2.8030052849119658,0.712096289247639
preprotein,6,1,0.8928571428571428,0.3184713375796179,2.8030052849119658,0.712096289247639
translocase,6,1,0.8928571428571428,0.3184713375796179,2.8030052849119658,0.712096289247639
ecf,6,1,0.8928571428571428,0.3184713375796179,2.8030052849119658,0.712096289247639
function,6,1,0.8928571428571428,0.3184713375796179,2.8030052849119658,0.712096289247639
elongation,9,2,1.3392857142857142,0.6369426751592357,2.1025054780685144,0.5820766821365346
signal,5,1,0.744047619047619,0.3184713375796179,2.335890054332463,0.5435429539288315
transferase,8,2,1.1904761904761905,0.6369426751592357,1.8689111999892203,0.469345022645272
ribonuclease,8,2,1.1904761904761905,0.6369426751592357,1.8689111999892203,0.469345022645272
delta,8,2,1.1904761904761905,0.6369426751592357,1.8689111999892203,0.469345022645272
50s,25,8,3.7202380952380953,2.547770700636943,1.4601753904968753,0.35071125047068286
chromosome,4,1,0.5952380952380952,0.3184713375796179,1.8687748237529604,0.3413752521990867
glycerol,4,1,0.5952380952380952,0.3184713375796179,1.8687748237529604,0.3413752521990867
dna-binding,4,1,0.5952380952380952,0.3184713375796179,1.8687748237529604,0.3413752521990867
modification,4,1,0.5952380952380952,0.3184713375796179,1.8687748237529604,0.3413752521990867
nucleoside,4,1,0.5952380952380952,0.3184713375796179,1.8687748237529604,0.3413752521990867
kinase,26,9,3.869047619047619,2.8662420382165608,1.3498555187974024,0.27622951478541946
atpase,6,2,0.8928571428571428,0.6369426751592357,1.4017226438306325,0.1980757745851296
phosphate,8,3,1.1904761904761905,0.9554140127388535,1.2460059974040179,0.12966765507511013
synthase,25,11,3.7202380952380953,3.5031847133757963,1.0619571058651252,0.03859423372103565
atp-binding,16,7,2.380952380952381,2.229299363057325,1.0680241595149127,0.030009753867992206
isomerase,5,2,0.744047619047619,0.6369426751592357,1.1681283657513388,0.02952243926632203
atp-dependent,5,2,0.744047619047619,0.6369426751592357,1.1681283657513388,0.02952243926632203
gtp-binding,5,2,0.744047619047619,0.6369426751592357,1.1681283657513388,0.02952243926632203
reductase,9,4,1.3392857142857142,1.2738853503184715,1.0513352558966977,-0.012130550568507203
trna,15,7,2.232142857142857,2.229299363057325,1.0012754529909047,-0.034032673422410564
ribosome,6,3,0.8928571428571428,0.9554140127388535,0.9345306619811888,-0.14160159298503228
phosphatase,4,2,0.5952380952380952,0.6369426751592357,0.9345340876720449,-0.1726452624634227
transporter,48,27,7.142857142857142,8.598726114649681,0.8306897997027527,-0.20835067605731528
gtpase,5,3,0.744047619047619,0.9554140127388535,0.7787929942697744,-0.31015492830383984
abc,38,25,5.654761904761905,7.961783439490445,0.7102417346019086,-0.37270220101203444
lipoprotein,16,11,2.380952380952381,3.5031847133757963,0.6796628238239814,-0.4105277377059675
group,3,2,0.4464285714285714,0.6369426751592357,0.700939809592751,-0.4254544593335581
antitermination,3,2,0.4464285714285714,0.6369426751592357,0.700939809592751,-0.4254544593335581
hydrolase,8,6,1.1904761904761905,1.910828025477707,0.6230356008194301,-0.4990490482131782
putrescine,4,3,0.5952380952380952,0.9554140127388535,0.6230553265583599,-0.5123226300335846
spermidine,4,3,0.5952380952380952,0.9554140127388535,0.6230553265583599,-0.5123226300335846
protease,5,4,0.744047619047619,1.2738853503184715,0.5841100283151582,-0.5646847934387198
excinuclease,3,3,0.4464285714285714,0.9554140127388535,0.4673176588469455,-0.76513182690372
segregation,3,3,0.4464285714285714,0.9554140127388535,0.4673176588469455,-0.76513182690372
dehydrogenase,7,7,1.0416666666666665,2.229299363057325,0.4672858007988403,-0.7720635505885936
permease,17,17,2.5297619047619047,5.414012738853503,0.46727174456615217,-0.7899840782180698
oligopeptide,4,5,0.5952380952380952,1.5923566878980893,0.3738488461019886,-0.9707489998794987
pts,3,4,0.4464285714285714,1.2738853503184715,0.3504974145243884,-1.0196616920386
serine,2,3,0.2976190476190476,0.9554140127388535,0.31157999113553103,-1.1030966011154382
substrate-binding,2,3,0.2976190476190476,0.9554140127388535,0.31157999113553103,-1.1030966011154382
helicase,4,6,0.5952380952380952,1.910828025477707,0.3115439657070645,-1.141039333321873
division,2,4,0.2976190476190476,1.2738853503184715,0.2336911076290035,-1.3576264662503181
acid,3,6,0.4464285714285714,1.910828025477707,0.23367105692897308,-1.3938485301920083
rrna,4,8,0.5952380952380952,2.547770700636943,0.23366103118547832,-1.4158074078857288
-methyltransferase,4,8,0.5952380952380952,2.547770700636943,0.23366103118547832,-1.4158074078857288
cell,1,4,0.1488095238095238,1.2738853503184715,0.1168848007336186,-1.869942403257868
pseudouridine,2,7,0.2976190476190476,2.229299363057325,0.1335422681788002,-1.8781609041432699
16s,1,5,0.1488095238095238,1.5923566878980893,0.09350930856780287,-2.073838907968902
methyltransferase,1,6,0.1488095238095238,1.910828025477707,0.07792523937279028,-2.2441292414112763
peptidase,1,6,0.1488095238095238,1.910828025477707,0.07792523937279028,-2.2441292414112763
amino,0,6,0.0,1.910828025477707,5.2330594698877425e-05,-3.3442296255920883
